1,3,imdb
Dave Bautista,Diaz,tt1411250
Bokeem Woodbine,Moss,tt1411250
Raoul Max Trujillo,Lockspur (as Raoul Trujillo),tt1411250
Conrad Pla,Vargas,tt1411250
Danny Blanco Hall,Falco,tt1411250
Noah Dalton Danby,Nunez (as Noah Danby),tt1411250
Andrés Vázquez,Valentín niño,tt2378281
Hugo Stiglitz,Johnny Bravo,tt2378281
Eugenio Derbez,Valentín,tt2378281
Leia Freitas,Amante Brasileña,tt2378281
Ángela Moreno,Amante Dominicana,tt2378281
Gilda Gentile,Amante Argentina,tt2378281
Nancy Taira,Amante Oriental,tt2378281
Jessica Lindsey,Julie,tt2378281
Sammy Pérez,Sammy,tt2378281
Arcelia Ramírez,Judeisy,tt2378281
Judi Dench,Philomena,tt2431286
Steve Coogan,Martin Sixsmith,tt2431286
Sophie Kennedy Clark,Young Philomena,tt2431286
Mare Winningham,Mary,tt2431286
Barbara Jefford,Sister Hildegarde,tt2431286
Ruth McCabe,Mother Barbara,tt2431286
Peter Hermann,Pete Olsson,tt2431286
Sean Mahon,Michael,tt2431286
Anna Maxwell Martin,Jane,tt2431286
Michelle Fairley,Sally Mitchell,tt2431286
Sean Penn,Mickey Cohen,tt1321870
Holt McCallany,Karl Lockwood,tt1321870
Wade Williams,Rourke,tt1321870
James Landry Hébert,Mitch Racine (as James Hèbert),tt1321870
Ambyr Childers,Milk Skinned Blonde,tt1321870
Josh Brolin,Sgt. John O'Mara,tt1321870
Mick Betancourt,Detective Sgt. Will Hendricks,tt1321870
Mac Brandt,Bruiser,tt1321870
Brandon Molale,Jimmy 'Bockscar' Knox,tt1321870
Michael Papajohn,Mike 'The Flea',tt1321870
Owen Wilson,Reggie (voice),tt1621039
Woody Harrelson,Jake (voice),tt1621039
Amy Poehler,Jenny (voice),tt1621039
George Takei,S.T.E.V.E. (voice),tt1621039
Colm Meaney,Myles Standish (voice),tt1621039
Keith David,Chief Broadbeak (voice),tt1621039
Dan Fogler,Governor Bradford (voice),tt1621039
Jimmy Hayward,Ranger / Leatherbeak / President / Hazmats / Additional Voice Talent (voice),tt1621039
Kaitlyn Maher,President's Daughter (voice),tt1621039
Carlos Alazraqui,Amos (voice),tt1621039
Baihe Bai,,tt2992152
Nathaniel Boyd,Fake Nazi #1,tt2992152
Bingkun Cao,,tt2992152
Jackie Chan,,tt2992152
Scotty Bob Cox,Hans,tt2992152
Wei Fan,,tt2992152
You Ge,,tt2992152
Xiaotong Guan,Adult dream girl,tt2992152
Chengru Li,,tt2992152
Xiaolu Li,,tt2992152
...,,tt3206598
Nicholas Hoult,R,tt1588173
Teresa Palmer,Julie,tt1588173
Analeigh Tipton,Nora,tt1588173
Rob Corddry,M,tt1588173
Dave Franco,Perry,tt1588173
John Malkovich,Grigio,tt1588173
Cory Hardrict,Kevin,tt1588173
Daniel Rindress-Kay,Soldier #1,tt1588173
Vincent Leclerc,Perry's Dad (as Vincent LeClerc),tt1588173
Clifford LeDuc-Vaillancourt,Boy at Airport,tt1588173
Emma Thompson,P.L. Travers,tt2140373
Tom Hanks,Walt Disney,tt2140373
Annie Rose Buckley,Ginty,tt2140373
Colin Farrell,Travers Goff,tt2140373
Ruth Wilson,Margaret Goff,tt2140373
Paul Giamatti,Ralph,tt2140373
Bradley Whitford,Don DaGradi,tt2140373
B.J. Novak,Robert Sherman,tt2140373
Jason Schwartzman,Richard Sherman,tt2140373
Lily Bigham,Biddy,tt2140373
Hugh Jackman,Keller Dover,tt1392214
Jake Gyllenhaal,Detective Loki,tt1392214
Viola Davis,Nancy Birch,tt1392214
Maria Bello,Grace Dover,tt1392214
Terrence Howard,Franklin Birch,tt1392214
Melissa Leo,Holly Jones,tt1392214
Paul Dano,Alex Jones,tt1392214
Dylan Minnette,Ralph Dover,tt1392214
Zoë Soul,Eliza Birch,tt1392214
Erin Gerasimovich,Anna Dover,tt1392214
James Franco,James Franco,tt1245492
Jonah Hill,Jonah Hill,tt1245492
Seth Rogen,Seth Rogen,tt1245492
Jay Baruchel,Jay Baruchel,tt1245492
Danny McBride,Danny McBride,tt1245492
Craig Robinson,Craig Robinson,tt1245492
Michael Cera,Michael Cera,tt1245492
Emma Watson,Emma Watson,tt1245492
Mindy Kaling,Mindy Kaling,tt1245492
David Krumholtz,David Krumholtz,tt1245492
Charlie Rowe,Ricky,tt1762399
Karl Urban,Uncle Zack,tt1762399
Angourie Rice,Jade,tt1762399
John Leguizamo,Alex (voice),tt1762399
Justin Long,Patchi (voice),tt1762399
Skyler Stone,Scowler (voice),tt1762399
Tiya Sircar,Juniper (voice),tt1762399
Clay Savage,Radio Announcer (voice),tt1762399
Jude Tinsely,Dinosaur ID Card (voice),tt1762399
Mary Mouser,Dinosaur ID Card (voice),tt1762399
Denzel Washington,Bobby,tt1272878
Mark Wahlberg,Stig,tt1272878
Paula Patton,Deb,tt1272878
Edward James Olmos,Papi Greco,tt1272878
Bill Paxton,Earl,tt1272878
Robert John Burke,Jessup,tt1272878
James Marsden,Quince,tt1272878
Greg Sproles,Chief Lucas,tt1272878
Fred Ward,Admiral Tuwey,tt1272878
Patrick Fischler,Dr. Ken,tt1272878
Michael Douglas,Billy Gherson,tt1204975
Robert De Niro,Paddy Connors,tt1204975
Morgan Freeman,Archie Clayton,tt1204975
Kevin Kline,Sam Harris,tt1204975
Mary Steenburgen,Diana Boyle,tt1204975
Jerry Ferrara,Dean,tt1204975
Romany Malco,Lonnie,tt1204975
Roger Bart,Maurice Tischler,tt1204975
Joanna Gleason,Miriam Harris,tt1204975
Michael Ealy,Ezra Clayton,tt1204975
Sylvester Stallone,Breslin,tt1211956
Arnold Schwarzenegger,Rottmayer,tt1211956
Jim Caviezel,Hobbes,tt1211956
Faran Tahir,Javed,tt1211956
Amy Ryan,Abigail,tt1211956
Sam Neill,Dr. Kyrie,tt1211956
Vincent D'Onofrio,Lester Clark,tt1211956
Vinnie Jones,Drake,tt1211956
Matt Gerald,Roag,tt1211956
50 Cent,Hush (as Curtis '50 Cent' Jackson),tt1211956
Jessica Chastain,Annabel,tt2023587
Nikolaj Coster-Waldau,Lucas / Jeffrey,tt2023587
Megan Charpentier,Victoria,tt2023587
Isabelle Nélisse,Lilly (as Isabelle Nelisse),tt2023587
Daniel Kash,Dr. Dreyfuss,tt2023587
Javier Botet,Mama,tt2023587
Jane Moffat,Jean Podolski / Mama (Voice),tt2023587
Morgan McGarry,Young Victoria,tt2023587
David Fox,Burnsie,tt2023587
Dominic Cuzzocrea,Ron,tt2023587
Bruce Willis,Frank,tt1821694
John Malkovich,Marvin,tt1821694
Mary-Louise Parker,Sarah,tt1821694
Helen Mirren,Victoria,tt1821694
Anthony Hopkins,Bailey,tt1821694
Byung-Hun Lee,Han Cho Bai (as Byung Hun Lee),tt1821694
Jong Kun Lee,Han's Father,tt1821694
Catherine Zeta-Jones,Katja,tt1821694
Neal McDonough,Jack Horton,tt1821694
David Thewlis,The Frog,tt1821694
Keanu Reeves,Kai,tt1335975
Hiroyuki Sanada,Ôishi,tt1335975
Ko Shibasaki,Mika (as Kô Shibasaki),tt1335975
Tadanobu Asano,Lord Kira,tt1335975
Min Tanaka,Lord Asano,tt1335975
Jin Akanishi,Chikara,tt1335975
Masayoshi Haneda,Yasuno,tt1335975
Hiroshi Sogabe,Hazama,tt1335975
Takato Yonemoto,Basho,tt1335975
Hiroshi Yamada,Hara,tt1335975
Mark Wahlberg,Marcus Luttrell,tt1091191
Taylor Kitsch,Michael Murphy,tt1091191
Emile Hirsch,Danny Dietz,tt1091191
Ben Foster,Matt 'Axe' Axelson,tt1091191
Yousuf Azami,Shah,tt1091191
Ali Suliman,Gulab,tt1091191
Eric Bana,Erik Kristensen,tt1091191
Alexander Ludwig,Shane Patton,tt1091191
Rich Ting,James Suh,tt1091191
Dan Bilzerian,Healy,tt1091191
Patrick Wilson,Josh Lambert,tt2226417
Rose Byrne,Renai Lambert,tt2226417
Ty Simpkins,Dalton Lambert,tt2226417
Lin Shaye,Elise Rainier,tt2226417
Barbara Hershey,Lorraine Lambert,tt2226417
Steve Coulter,Carl,tt2226417
Leigh Whannell,Specs,tt2226417
Angus Sampson,Tucker,tt2226417
Andrew Astor,Foster Lambert,tt2226417
Hank Harris,Young Carl,tt2226417
Gerard Butler,Mike Banning,tt2302755
Aaron Eckhart,President Benjamin Asher,tt2302755
Finley Jacobsen,Connor,tt2302755
Dylan McDermott,Forbes,tt2302755
Rick Yune,Kang,tt2302755
Morgan Freeman,Speaker Trumbull,tt2302755
Angela Bassett,Secret Service Director Lynn Jacobs,tt2302755
Melissa Leo,Secretary of Defense Ruth McMillan,tt2302755
Radha Mitchell,Leah,tt2302755
Cole Hauser,Roma,tt2302755
Will Ferrell,Ron Burgundy,tt1229340
Steve Carell,Brick Tamland,tt1229340
Paul Rudd,Brian Fantana,tt1229340
David Koechner,Champ Kind,tt1229340
Christina Applegate,Veronica Corningstone,tt1229340
Dylan Baker,Freddie Shapp,tt1229340
Meagan Good,Linda Jackson,tt1229340
Judah Nelson,Walter Burgundy,tt1229340
James Marsden,Jack Lime,tt1229340
Greg Kinnear,Gary,tt1229340
Jason Bateman,Sandy Patterson,tt2024432
Melissa McCarthy,Diana,tt2024432
Jon Favreau,Harold Cornish,tt2024432
Amanda Peet,Trish Patterson,tt2024432
T.I.,Julian (as Tip 'T.I.' Harris),tt2024432
Genesis Rodriguez,Marisol,tt2024432
Morris Chestnut,Detective Reilly,tt2024432
John Cho,Daniel Casey,tt2024432
Robert Patrick,Skiptracer,tt2024432
Eric Stonestreet,Big Chuck,tt2024432
Forest Whitaker,Cecil Gaines,tt1327773
David Banner,Earl Gaines,tt1327773
Michael Rainey Jr.,Cecil Gaines (8),tt1327773
LaJessie Smith,Abraham,tt1327773
Mariah Carey,Hattie Pearl,tt1327773
Alex Pettyfer,Thomas Westfall,tt1327773
Vanessa Redgrave,Annabeth Westfall,tt1327773
Aml Ameen,Cecil Gaines (15),tt1327773
Clarence Williams III,Maynard,tt1327773
John P. Fertitta,Mr. Jenkins (as John Fertitta),tt1327773
Chiwetel Ejiofor,Solomon Northup,tt2024544
Dwight Henry,Uncle Abram,tt2024544
Dickie Gravois,Overseer,tt2024544
Bryan Batt,Judge Turner,tt2024544
Ashley Dyke,Anna,tt2024544
Kelsey Scott,Anne Northup,tt2024544
Quvenzhané Wallis,Margaret Northup,tt2024544
Cameron Zeigler,Alonzo Northup,tt2024544
Tony Bentley,Mr. Moon,tt2024544
Scoot McNairy,Brown,tt2024544
Ben Stiller,Walter Mitty,tt0359950
Kristen Wiig,Cheryl Melhoff,tt0359950
Jon Daly,Tim Naughton (as Jonathan C. Daly),tt0359950
Kathryn Hahn,Odessa Mitty,tt0359950
Terence Bernie Hines,Gary Mannheim,tt0359950
Adam Scott,Ted Hendricks,tt0359950
Paul Fitzgerald,Don Proctor,tt0359950
Grace Rex,Cheryl's Co-Worker,tt0359950
Alex Anfanger,Ted's Toner Box Associate,tt0359950
Amanda Naughton,Female Editor,tt0359950
Nicholas Hoult,Jack,tt1351685
Eleanor Tomlinson,Isabelle,tt1351685
Ewan McGregor,Elmont,tt1351685
Stanley Tucci,Roderick,tt1351685
Eddie Marsan,Crawe,tt1351685
Ewen Bremner,Wicke,tt1351685
Ian McShane,King Brahmwell,tt1351685
Christopher Fairbank,Uncle,tt1351685
Simon Lowe,Monk,tt1351685
Mingus Johnston,Bald,tt1351685
Logan Lerman,Percy Jackson,tt1854564
Alexandra Daddario,Annabeth,tt1854564
Douglas Smith,Tyson,tt1854564
Leven Rambin,Clarisse,tt1854564
Brandon T. Jackson,Grover,tt1854564
Jake Abel,Luke,tt1854564
Anthony Head,Chiron (as Anthony Stewart Head),tt1854564
Stanley Tucci,Mr. D,tt1854564
Connor Dunn,Tereus,tt1854564
Paloma Kwiatkowski,Thalia,tt1854564
Channing Tatum,Cale,tt2334879
Jamie Foxx,President Sawyer,tt2334879
Maggie Gyllenhaal,Finnerty,tt2334879
Jason Clarke,Stenz,tt2334879
Richard Jenkins,Raphelson,tt2334879
Joey King,Emily,tt2334879
James Woods,Walker,tt2334879
Nicolas Wright,Donnie the Guide,tt2334879
Jimmi Simpson,Tyler,tt2334879
Michael Murphy,Vice President Hammond,tt2334879
Tom Hanks,Captain Richard Phillips,tt1535109
Catherine Keener,Andrea Phillips,tt1535109
Barkhad Abdi,Muse,tt1535109
Barkhad Abdirahman,Bilal,tt1535109
Faysal Ahmed,Najee,tt1535109
Mahat M. Ali,Elmi,tt1535109
Michael Chernus,Shane Murphy,tt1535109
David Warshofsky,Mike Perry,tt1535109
Corey Johnson,Ken Quinn,tt1535109
Chris Mulkey,John Cronan,tt1535109
Sandra Bullock,Ashburn,tt2404463
Melissa McCarthy,Mullins,tt2404463
Demián Bichir,Hale (as Demian Bichir),tt2404463
Marlon Wayans,Levy,tt2404463
Michael Rapaport,Jason Mullins,tt2404463
Jane Curtin,Mrs. Mullins,tt2404463
Spoken Reasons,Rojas,tt2404463
Dan Bakkedahl,Craig,tt2404463
Taran Killam,Adam,tt2404463
Michael McDonald,Julian,tt2404463
Dane Cook,Dusty Crophopper (voice),tt1691917
Stacy Keach,Skipper (voice),tt1691917
Brad Garrett,Chug (voice),tt1691917
Teri Hatcher,Dottie (voice),tt1691917
Julia Louis-Dreyfus,Rochelle (voice),tt1691917
Priyanka Chopra,Ishani (voice),tt1691917
John Cleese,Bulldog (voice),tt1691917
Cedric the Entertainer,Leadbottom (voice),tt1691917
Carlos Alazraqui,El Chupacabra / Additional Voices (voice),tt1691917
Roger Craig Smith,Ripslinger / Additional Voices (voice),tt1691917
Jaden Smith,Kitai Raige,tt1815862
Will Smith,Cypher Raige,tt1815862
Sophie Okonedo,Faia Raige,tt1815862
Zoë Kravitz,Senshi Raige (as Zoë Isabella Kravitz),tt1815862
Glenn Morshower,Commander Velan,tt1815862
Kristofer Hivju,Security Chief,tt1815862
Sacha Dhawan,Hesper Pilot,tt1815862
Chris Geere,Hesper Navigator,tt1815862
Diego Klattenhoff,Veteran Ranger,tt1815862
David Denman,Private McQuarrie,tt1815862
Adam Sandler,Lenny Feder,tt2191701
Kevin James,Eric Lamonsoff,tt2191701
Chris Rock,Kurt McKenzie,tt2191701
David Spade,Marcus Higgins,tt2191701
Salma Hayek,Roxanne Chase-Feder,tt2191701
Maya Rudolph,Deanne McKenzie,tt2191701
Maria Bello,Sally Lamonsoff,tt2191701
Nick Swardson,Nick,tt2191701
Steve Buscemi,Wiley,tt2191701
Colin Quinn,Dickie Bailey,tt2191701
Christian Bale,Irving Rosenfeld,tt1800241
Bradley Cooper,Richie DiMaso,tt1800241
Amy Adams,Sydney Prosser,tt1800241
Jeremy Renner,Mayor Carmine Polito,tt1800241
Jennifer Lawrence,Rosalyn Rosenfeld,tt1800241
Louis C.K.,Stoddard Thorsen,tt1800241
Jack Huston,Pete Musane,tt1800241
Michael Peña,Paco Hernandez / Sheik Abdullah,tt1800241
Shea Whigham,Carl Elway,tt1800241
Alessandro Nivola,Anthony Amado,tt1800241
Johnny Depp,Tonto,tt1210819
Armie Hammer,John Reid (Lone Ranger),tt1210819
William Fichtner,Butch Cavendish,tt1210819
Tom Wilkinson,Cole,tt1210819
Ruth Wilson,Rebecca Reid,tt1210819
Helena Bonham Carter,Red Harrington,tt1210819
James Badge Dale,Dan Reid,tt1210819
Bryant Prince,Danny,tt1210819
Barry Pepper,Fuller,tt1210819
Mason Cook,Will,tt1210819
Blake Anderson,Dagda (voice),tt0848537
Aziz Ansari,Mub (voice),tt0848537
Allison Bills,Dandelion Jinn (voice),tt0848537
Jim Conroy,Race Announcer / Additional Voices (voice),tt0848537
Todd Cummings,Fruit Fly (Old) (voice),tt0848537
John DiMaggio,Pinecone Jinn (voice),tt0848537
Troy Evans,Thistle Jinn (voice),tt0848537
Colin Farrell,Ronin (voice),tt0848537
Jason Fricchione,Bufo's Goon (voice),tt0848537
Judah Friedlander,Taxi Driver (voice),tt0848537
Bill Hader,Flint Lockwood (voice),tt1985966
Anna Faris,Sam Sparks (voice),tt1985966
James Caan,Tim Lockwood (voice),tt1985966
Will Forte,Chester V (voice),tt1985966
Andy Samberg,Brent McHale (voice),tt1985966
Benjamin Bratt,Manny (voice),tt1985966
Neil Patrick Harris,Steve (voice),tt1985966
Terry Crews,Earl Devereaux (voice),tt1985966
Kristen Schaal,Barb (voice),tt1985966
Cody Cameron,Barry / Dill Pickle (voice),tt1985966
Ryan Reynolds,Turbo (voice),tt1860353
Paul Giamatti,Chet (voice),tt1860353
Michael Peña,Tito (voice),tt1860353
Samuel L. Jackson,Whiplash (voice),tt1860353
Luis Guzmán,Angelo (voice),tt1860353
Bill Hader,Guy Gagné (voice),tt1860353
Snoop Dogg,Smoove Move (voice),tt1860353
Maya Rudolph,Burn (voice),tt1860353
Ben Schwartz,Skidmark (voice),tt1860353
Richard Jenkins,Bobby (voice),tt1860353
Matt Damon,Max,tt1535108
Jodie Foster,Delacourt,tt1535108
Sharlto Copley,Kruger,tt1535108
Alice Braga,Frey,tt1535108
Diego Luna,Julio,tt1535108
Wagner Moura,Spider,tt1535108
William Fichtner,John Carlyle,tt1535108
Brandon Auret,Drake,tt1535108
Josh Blacker,Crowe,tt1535108
Emma Tremblay,Matilda,tt1535108
Tom Cruise,Jack,tt1483013
Morgan Freeman,Beech,tt1483013
Olga Kurylenko,Julia,tt1483013
Andrea Riseborough,Victoria,tt1483013
Nikolaj Coster-Waldau,Sykes,tt1483013
Melissa Leo,Sally,tt1483013
Zoë Bell,Kara,tt1483013
Abigail Lowe,Julia's Child,tt1483013
Isabelle Lowe,Julia's Child,tt1483013
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,tt1483013
Bruce Willis,John McClane,tt1606378
Jai Courtney,Jack McClane,tt1606378
Sebastian Koch,Komarov,tt1606378
Mary Elizabeth Winstead,Lucy,tt1606378
Yulia Snigir,Irina,tt1606378
Radivoje Bukvic,Alik (as Rasha Bukvic),tt1606378
Cole Hauser,Collins,tt1606378
Amaury Nolasco,Murphy,tt1606378
Sergey Kolesnikov,Chagarin,tt1606378
Roman Luknár,Anton,tt1606378
Vera Farmiga,Lorraine Warren,tt1457767
Patrick Wilson,Ed Warren,tt1457767
Lili Taylor,Carolyn Perron,tt1457767
Ron Livingston,Roger Perron,tt1457767
Shanley Caswell,Andrea,tt1457767
Hayley McFarland,Nancy,tt1457767
Joey King,Christine,tt1457767
Mackenzie Foy,Cindy,tt1457767
Kyla Deaver,April,tt1457767
Shannon Kook,Drew Thomas,tt1457767
Hank Azaria,Gargamel,tt2017020
Neil Patrick Harris,Patrick,tt2017020
Brendan Gleeson,Victor,tt2017020
Jayma Mays,Grace,tt2017020
Jacob Tremblay,Blue,tt2017020
Nancy O'Dell,Nancy O'Dell,tt2017020
Karim Babin,Room Service Waiter,tt2017020
Gaston Morrison,New York Taxi Driver (as Gaston Morrisson),tt2017020
Jocelyn Blanchard,Toad Man,tt2017020
Erika Rosenbaum,Pregnant Mom,tt2017020
Jesse Eisenberg,J. Daniel Atlas,tt1670345
Mark Ruffalo,Dylan Rhodes,tt1670345
Woody Harrelson,Merritt McKinney,tt1670345
Isla Fisher,Henley Reeves,tt1670345
Dave Franco,Jack Wilder,tt1670345
Mélanie Laurent,Alma Dray,tt1670345
Morgan Freeman,Thaddeus Bradley,tt1670345
Michael Caine,Arthur Tressler,tt1670345
Michael Kelly,Agent Fuller (as Michael J. Kelly),tt1670345
Common,Evans,tt1670345
Bradley Cooper,Phil,tt1951261
Ed Helms,Stu,tt1951261
Zach Galifianakis,Alan,tt1951261
Justin Bartha,Doug,tt1951261
Ken Jeong,Mr. Chow,tt1951261
John Goodman,Marshall,tt1951261
Melissa McCarthy,Cassie,tt1951261
Jeffrey Tambor,Sid,tt1951261
Heather Graham,Jade,tt1951261
Mike Epps,Black Doug,tt1951261
Dwayne Johnson,Roadblock,tt1583421
Jonathan Pryce,President,tt1583421
Byung-Hun Lee,Storm Shadow,tt1583421
Elodie Yung,Jinx,tt1583421
Ray Stevenson,Firefly,tt1583421
D.J. Cotrona,Flint,tt1583421
Adrianne Palicki,Jaye,tt1583421
Channing Tatum,Duke,tt1583421
Ray Park,Snake Eyes,tt1583421
Luke Bracey,Cobra Commander,tt1583421
Leonardo DiCaprio,Jordan Belfort,tt0993846
Jonah Hill,Donnie Azoff,tt0993846
Margot Robbie,Naomi Lapaglia,tt0993846
Matthew McConaughey,Mark Hanna,tt0993846
Kyle Chandler,Agent Patrick Denham,tt0993846
Rob Reiner,Max Belfort,tt0993846
Jon Bernthal,Brad,tt0993846
Jon Favreau,Manny Riskin,tt0993846
Jean Dujardin,Jean Jacques Saurel,tt0993846
Joanna Lumley,Aunt Emma,tt0993846
Charlie Hunnam,Raleigh Becket,tt1663662
Diego Klattenhoff,Yancy Becket,tt1663662
Idris Elba,Stacker Pentecost,tt1663662
Rinko Kikuchi,Mako Mori,tt1663662
Charlie Day,Dr. Newton Geiszler,tt1663662
Burn Gorman,Herman Gottlieb,tt1663662
Max Martini,Herc Hansen,tt1663662
Robert Kazinsky,Chuck Hansen (as Rob Kazinsky),tt1663662
Clifton Collins Jr.,Ops Tendo Choi,tt1663662
Ron Perlman,Hannibal Chau,tt1663662
Hugh Jackman,Logan,tt1430132
Tao Okamoto,Mariko,tt1430132
Rila Fukushima,Yukio,tt1430132
Hiroyuki Sanada,Shingen,tt1430132
Svetlana Khodchenkova,Viper,tt1430132
Brian Tee,Noburo,tt1430132
Hal Yamanouchi,Yashida (as Haruhiko Yamanouchi),tt1430132
Will Yun Lee,Harada,tt1430132
Ken Yamamura,Young Yashida,tt1430132
Famke Janssen,Jean Grey,tt1430132
Chris Pine,Kirk,tt1408101
Zachary Quinto,Spock,tt1408101
Zoe Saldana,Uhura (as Zoë Saldana),tt1408101
Karl Urban,Bones,tt1408101
Simon Pegg,Scotty,tt1408101
John Cho,Sulu,tt1408101
Benedict Cumberbatch,Khan,tt1408101
Anton Yelchin,Chekov,tt1408101
Bruce Greenwood,Pike,tt1408101
Peter Weller,Marcus,tt1408101
James Franco,Oz,tt1623205
Mila Kunis,Theodora / Wicked Witch of the West,tt1623205
Rachel Weisz,Evanora,tt1623205
Michelle Williams,Annie / Glinda,tt1623205
Zach Braff,Frank / Finley,tt1623205
Bill Cobbs,Master Tinker,tt1623205
Joey King,Girl in Wheelchair / China Girl,tt1623205
Tony Cox,Knuck,tt1623205
Stephen R. Hart,Winkie General,tt1623205
Abigail Spencer,May (as Abigail Leigh Spencer),tt1623205
Brad Pitt,Gerry Lane,tt0816711
Mireille Enos,Karin Lane,tt0816711
Daniella Kertesz,Segen,tt0816711
James Badge Dale,Captain Speke,tt0816711
Ludi Boeken,Jurgen Warmbrunn,tt0816711
Matthew Fox,Parajumper,tt0816711
Fana Mokoena,Thierry Umutoni,tt0816711
David Morse,Ex-CIA Agent,tt0816711
Elyes Gabel,Andrew Fassbach,tt0816711
Peter Capaldi,W.H.O. Doctor,tt0816711
Nicolas Cage,Grug (voice),tt0481499
Emma Stone,Eep (voice),tt0481499
Ryan Reynolds,Guy (voice),tt0481499
Catherine Keener,Ugga (voice),tt0481499
Cloris Leachman,Gran (voice),tt0481499
Clark Duke,Thunk (voice),tt0481499
Chris Sanders,Belt (voice),tt0481499
Randy Thom,Sandy (voice),tt0481499
Chris Hemsworth,Thor,tt1981115
Natalie Portman,Jane Foster,tt1981115
Tom Hiddleston,Loki,tt1981115
Anthony Hopkins,Odin,tt1981115
Christopher Eccleston,Malekith,tt1981115
Jaimie Alexander,Sif,tt1981115
Zachary Levi,Fandral,tt1981115
Ray Stevenson,Volstagg,tt1981115
Tadanobu Asano,Hogun,tt1981115
Idris Elba,Heimdall,tt1981115
Henry Cavill,Clark Kent / Kal-El,tt0770828
Amy Adams,Lois Lane,tt0770828
Michael Shannon,General Zod,tt0770828
Diane Lane,Martha Kent,tt0770828
Russell Crowe,Jor-El,tt0770828
Antje Traue,Faora-Ul,tt0770828
Harry Lennix,General Swanwick,tt0770828
Richard Schiff,Dr. Emil Hamilton,tt0770828
Christopher Meloni,Colonel Nathan Hardy,tt0770828
Kevin Costner,Jonathan Kent,tt0770828
Sandra Bullock,Ryan Stone,tt1454468
George Clooney,Matt Kowalski,tt1454468
Ed Harris,Mission Control (voice),tt1454468
Orto Ignatiussen,Aningaaq (voice),tt1454468
Phaldut Sharma,Shariff (voice),tt1454468
Amy Warren,Explorer Captain (voice),tt1454468
Basher Savage,Russian Space Station Captain (voice),tt1454468
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,tt1454468
Adam Cozens,Adam (uncredited),tt1454468
Billy Crystal,Mike (voice),tt1453405
John Goodman,Sullivan (voice),tt1453405
Steve Buscemi,Randy (voice),tt1453405
Helen Mirren,Dean Hardscrabble (voice),tt1453405
Peter Sohn,Squishy (voice),tt1453405
Joel Murray,Don (voice),tt1453405
Sean Hayes,Terri (voice) (as Sean P. Hayes),tt1453405
Dave Foley,Terry (voice),tt1453405
Charlie Day,Art (voice),tt1453405
Alfred Molina,Professor Knight (voice),tt1453405
Vin Diesel,Dominic Toretto,tt1905041
Paul Walker,Brian O'Conner,tt1905041
Dwayne Johnson,Hobbs,tt1905041
Jordana Brewster,Mia,tt1905041
Michelle Rodriguez,Letty,tt1905041
Tyrese Gibson,Roman,tt1905041
Sung Kang,Han,tt1905041
Gal Gadot,Gisele,tt1905041
Ludacris,Tej (as Chris 'Ludacris' Bridges),tt1905041
Luke Evans,Shaw,tt1905041
Jennifer Lawrence,Katniss Everdeen,tt1951264
Liam Hemsworth,Gale Hawthorne,tt1951264
Jack Quaid,Marvel,tt1951264
Taylor St. Clair,Ripper,tt1951264
Sandra Ellis Lafferty,Greasy Sae (as Sandra Lafferty),tt1951264
Woody Harrelson,Haymitch Abernathy,tt1951264
Josh Hutcherson,Peeta Mellark,tt1951264
Paula Malcomson,Katniss' Mother,tt1951264
Willow Shields,Primrose Everdeen,tt1951264
Donald Sutherland,President Snow,tt1951264
Ian McKellen,Gandalf,tt1170358
Martin Freeman,Bilbo,tt1170358
Richard Armitage,Thorin,tt1170358
Ken Stott,Balin,tt1170358
Graham McTavish,Dwalin,tt1170358
William Kircher,Bifur,tt1170358
James Nesbitt,Bofur,tt1170358
Stephen Hunter,Bombur,tt1170358
Dean O'Gorman,Fili,tt1170358
Aidan Turner,Kili,tt1170358
Steve Carell,Gru (voice),tt1690953
Kristen Wiig,Lucy (voice),tt1690953
Benjamin Bratt,Eduardo / El Macho (voice),tt1690953
Miranda Cosgrove,Margo (voice),tt1690953
Russell Brand,Dr. Nefario (voice),tt1690953
Ken Jeong,Floyd (voice),tt1690953
Steve Coogan,Silas (voice),tt1690953
Elsie Fisher,Agnes (voice),tt1690953
Dana Gaier,Edith (voice),tt1690953
Moises Arias,Antonio (voice),tt1690953
Robert Downey Jr.,Tony Stark,tt1300854
Gwyneth Paltrow,Pepper Potts,tt1300854
Don Cheadle,Colonel James Rhodes,tt1300854
Guy Pearce,Aldrich Killian,tt1300854
Rebecca Hall,Maya Hansen,tt1300854
Jon Favreau,Happy Hogan,tt1300854
Ben Kingsley,Trevor Slattery,tt1300854
James Badge Dale,Savin,tt1300854
Stephanie Szostak,Brandt,tt1300854
Paul Bettany,JARVIS (voice),tt1300854
Kristen Bell,Anna (voice),tt2294629
Idina Menzel,Elsa (voice),tt2294629
Jonathan Groff,Kristoff (voice),tt2294629
Josh Gad,Olaf (voice),tt2294629
Santino Fontana,Hans (voice),tt2294629
Alan Tudyk,Duke (voice),tt2294629
Ciarán Hinds,Pabbie / Grandpa (voice),tt2294629
Chris Williams,Oaken (voice),tt2294629
Stephen J. Anderson,Kai (voice),tt2294629
Maia Wilson,Bulda (voice),tt2294629
