1,3,4,5,6,7
Lawrence Taylor,Luther 'Shark' Lavay,,,,
Bill Bellamy,Jimmy Sanderson,,,,
Andrew Bryniarski,Patrick 'Madman' Kelly,,,,
Lela Rochon,Vanessa Struthers,,,,
Lauren Holly,Cindy Rooney,,,,
Ann-Margret,Margaret Pagniacci,,,,
Aaron Eckhart,Nick Crozier,,,,
Edward Norton,The Narrator,,,,
Brad Pitt,Tyler Durden,,,,
Meat Loaf,Robert 'Bob' Paulsen (as Meat Loaf Aday),,,,
Zach Grenier,Richard Chesler,,,,
Richmond Arquette,Intern,,,,
David Andrews,Thomas,,,,
George Maguire,Group Leader,,,,
Eugenie Bondurant,Weeping Woman,,,,
Helena Bonham Carter,Marla Singer,,,,
Christina Cabot,Group Leader,,,,
Sydney 'Big Dawg' Colston,Speaker,,,,
Rachel Singer,Chloe,,,,
Christie Cronenweth,Airline Attendant,,,,
Tim DeZarn,Inspector Bird (as Tim de Zarn),,,,
Ezra Buzzington,Inspector Dent,,,,
George Clooney,Archie Gates,,,,
Mark Wahlberg,Troy Barlow,,,,
Ice Cube,Chief Elgin,,,,
Spike Jonze,Conrad Vig,,,,
Cliff Curtis,Amir Abdulah,,,,
Nora Dunn,Adriana Cruz,,,,
Jamie Kennedy,Walter Wogaman,,,,
Saïd Taghmaoui,Captain Said (as Said Taghmaoui),,,,
Mykelti Williamson,Colonel Horn,,,,
Holt McCallany,Captain Van Meter,,,,
Judy Greer,Cathy Daitch,,,,
Christopher Lohr,Teebaux,,,,
Jon Sklaroff,Paco,,,,
Liz Stauber,"Debbie Barlow, Troy's Wife",,,,
Marsha Horan,Amir's Wife,,,,
Jodie Foster,Anna,,,,
Yun-Fat Chow,King Mongkut (as Chow Yun-Fat),,,,
Bai Ling,Tuptim,,,,
Tom Felton,Louis,,,,
Syed Alwi,The Kralahome,,,,
Randall Duk Kim,General Alak,,,,
Kay Siu Lim,Prince Chowfa (as Lim Kay Siu),,,,
Melissa Campbell,Princess Fa-Ying,,,,
Keith Chin,Prince Chulalongkorn,,,,
Mano Maniam,Moonshee,,,,
Shanthini Venugopal,Beebe,,,,
Deanna Yusoff,Lady Thiang,,,,
Geoffrey Palmer,Lord John Bradley,,,,
Ann Firbank,Lady Bradley,,,,
Bill Stewart,Mycroft Kincaid,,,,
Martin Lawrence,Miles Logan,,,,
Luke Wilson,Carlson,,,,
Peter Greene,Deacon,,,,
Dave Chappelle,Tulley,,,,
Nicole Ari Parker,Melissa Green,,,,
Graham Beckel,Rizzo,,,,
Robert Miranda,Glenfiddish,,,,
Olek Krupa,Jean LaFleur,,,,
Saverio Guerra,Benny,,,,
Richard C. Sarafian,Uncle Lou,,,,
Tamala Jones,Janiece,,,,
Julio Oscar Mechoso,Detective Diaz,,,,
Steve Rankin,FBI Agent Gray,,,,
Carmen Argenziano,Captain Penelli,,,,
John Hawkes,Eddie,,,,
Kevin Costner,Garret,,,,
Robin Wright,Theresa (as Robin Wright Penn),,,,
Paul Newman,Dodge,,,,
John Savage,Johnny Land,,,,
Illeana Douglas,Lina,,,,
Robbie Coltrane,Charlie,,,,
Jesse James,Jason,,,,
Bethel Leslie,Marta,,,,
Tom Aldredge,Hank,,,,
Viveka Davis,Alva,,,,
Raphael Sbarge,Andy,,,,
Richard Hamilton,Chet,,,,
Rosemary Murphy,Helen At The B&B,,,,
Steven Eckholdt,David,,,,
Susan Brightbill,Catherine,,,,
Pierce Brosnan,Thomas Crown,,,,
Rene Russo,Catherine Banning,,,,
Denis Leary,Michael McCann,,,,
Ben Gazzara,Andrew Wallace,,,,
Frankie Faison,Detective Paretti,,,,
Fritz Weaver,John Reynolds,,,,
Charles Keating,Friedrich Golchan,,,,
Mark Margolis,Heinrich Knutzhorn,,,,
Faye Dunaway,The Psychiatrist,,,,
Michael Lombard,Bobby McKinley,,,,
Bill Ambrozy,Proctor,,,,
Michael Bahr,Proctor (as Michael S. Bahr),,,,
Robert D. Novak,Proctor (as Robert Novak),,,,
Joe H. Lamb,Proctor (as Joe Lamb),,,,
James Saito,Paul Cheng,,,,
Matt Damon,Tom Ripley,,,,
Gwyneth Paltrow,Marge Sherwood,,,,
Jude Law,Dickie Greenleaf,,,,
Cate Blanchett,Meredith Logue,,,,
Philip Seymour Hoffman,Freddie Miles,,,,
Jack Davenport,Peter Smith-Kingsley,,,,
James Rebhorn,Herbert Greenleaf,,,,
Sergio Rubini,Inspector Roverini,,,,
Philip Baker Hall,Alvin MacCarron,,,,
Celia Weston,Aunt Joan,,,,
Fiorello,Fausto (as Rosario Fiorello),,,,
Stefania Rocca,Silvana,,,,
Ivano Marescotti,Colonnello Verrecchia,,,,
Anna Longhi,Signora Buffi,,,,
Alessandro Fabrizi,Sergeant Baggio,,,,
Matthew Broderick,Inspector Gadget / Robo Gadget / John Brown,,,,
Rupert Everett,Sanford Scolex,,,,
Joely Fisher,Brenda / Robobrenda,,,,
Michelle Trachtenberg,Penny,,,,
Andy Dick,Kramer,,,,
Cheri Oteri,Mayor Wilson,,,,
Mike Hagerty,Sikes (as Michael G. Hagerty),,,,
Dabney Coleman,Chief Quimby,,,,
D.L. Hughley,Gadgetmobile (voice),,,,
Rene Auberjonois,Artemus Bradford (as René Auberjonois),,,,
Frances Bay,Thelma,,,,
Mr. T,Himself,,,,
Richard Kiel,Famous Big Guy with Silver Teeth,,,,
Richard Lee-Sung,Famous Villain with Deadly Hat,,,,
Bobby Bell,Famous Identifier of Sea Planes (as Robert N. Bell),,,,
Denzel Washington,Lincoln Rhyme,,,,
Angelina Jolie,Amelia Donaghy,,,,
Queen Latifah,Thelma,,,,
Michael Rooker,Captain Howard Cheney,,,,
Michael McGlone,Detective Kenny Solomon (as Mike McGlone),,,,
Luis Guzmán,Eddie Ortiz (as Luis Guzman),,,,
Leland Orser,Richard Thompson,,,,
John Benjamin Hickey,Dr. Barry Lehman,,,,
Bobby Cannavale,Amelia's Boyfriend,,,,
Ed O'Neill,Detective Paulie Sellitto,,,,
Richard Zeman,Lt. Carl Hanson,,,,
Olivia Birkelund,Lindsay Rubin,,,,
Gary Swanson,Alan Rubin,,,,
James Bulleit,Train Engineer (as Jim Bulleit),,,,
Frank Fontaine,Grandfather,,,,
Mel Gibson,Porter,,,,
Gregg Henry,Val Resnick,,,,
Maria Bello,Rosie,,,,
David Paymer,Arthur Stegman,,,,
Bill Duke,Det. Hicks,,,,
Deborah Kara Unger,Mrs. Lynn Porter,,,,
John Glover,Phil,,,,
William Devane,Carter,,,,
Lucy Liu,Pearl (as Lucy Alexis Liu),,,,
Jack Conley,Det. Leary,,,,
Kris Kristofferson,Bronson,,,,
Mark Alfa,Johnny's Friend #2,,,,
Kwame Amoaku,Radioman,,,,
Justin Ashforth,"Michael, Bartender #1",,,,
Len Bajenski,Fairfax Bodyguard #1,,,,
Tom Cruise,Dr. William Harford,,,,
Nicole Kidman,Alice Harford,,,,
Madison Eginton,Helena Harford,,,,
Jackie Sawiris,Roz,,,,
Sydney Pollack,Victor Ziegler,,,,
Leslie Lowe,Illona,,,,
Peter Benson,Bandleader,,,,
Todd Field,Nick Nightingale,,,,
Michael Doven,Ziegler's Secretary,,,,
Sky du Mont,Sandor Szavost (as Sky Dumont),,,,
Louise J. Taylor,Gayle (as Louise Taylor),,,,
Stewart Thorndike,Nuala,,,,
Randall Paul,Harris,,,,
Julienne Davis,Mandy,,,,
Lisa Leone,Lisa,,,,
Thomas Jane,Carter Blake,,,,
Saffron Burrows,Dr. Susan McAlester,,,,
Samuel L. Jackson,Russell Franklin,,,,
Jacqueline McKenzie,Janice Higgins,,,,
Michael Rapaport,Tom Scoggins,,,,
Stellan Skarsgård,Jim Whitlock,,,,
LL Cool J,Preacher,,,,
Aida Turturro,Brenda Kerns,,,,
Cristos,Boat Captain,,,,
Daniel Rey,Helicopter Pilot (as Daniel Bahimo Rey),,,,
Valente Rodriguez,Helicopter Co-Pilot,,,,
Brent Roam,Helicopter Winch Operator,,,,
Eyal Podell,Boy #1,,,,
Erinn Bartlett,Girl #1,,,,
Dan Thiel,Boy #2,,,,
Robert De Niro,Paul Vitti,,,,
Billy Crystal,Dr. Ben Sobel,,,,
Lisa Kudrow,Laura MacNamara Sobel,,,,
Chazz Palminteri,Primo Sidone,,,,
Kresh Novakovic,'50s Gangster (as Kresimir Novakovic),,,,
Bart Tangredi,Young Vitti Sr.,,,,
Michael Straka,Young Dominic Manetta,,,,
Joseph Rigano,Dominic Manetta (as Joe Rigano),,,,
Joe Viterelli,Jelly,,,,
Richard C. Castellano,Jimmy Boots (as Richard Castellano),,,,
Molly Shannon,Caroline,,,,
Max Casella,Nicky Shivers,,,,
Frank Pietrangolare,Tuna,,,,
Kyle Sabihy,Michael Sobel,,,,
Bill Macy,Dr. Isaac Sobel,,,,
Liam Neeson,Dr. David Marrow,,,,
Catherine Zeta-Jones,Theo,,,,
Owen Wilson,Luke Sanderson,,,,
Lili Taylor,Nell,,,,
Bruce Dern,Mr. Dudley,,,,
Marian Seldes,Mrs. Dudley,,,,
Alix Koromzay,Mary Lambetta,,,,
Todd Field,Todd Hackett,,,,
Virginia Madsen,Jane,,,,
Michael Cavanaugh,Dr. Malcolm Keogh,,,,
Tom Irwin,Lou,,,,
Charles Gunning,Hugh Crain,,,,
Saul Priever,Ritchie,,,,
M.C. Gainey,Large Man,,,,
Hadley Eure,Carolyn Crain,,,,
Tommy Lee Jones,Travis,,,,
Ashley Judd,Libby,,,,
Benjamin Weir,Matty - Age 4,,,,
Jay Brazeau,Bobby,,,,
Bruce Greenwood,Nick,,,,
John Maclaren,Rudy (as John MacLaren),,,,
Ed Evanko,Warren (as Edward Evanko),,,,
Annabeth Gish,Angie,,,,
Bruce Campbell,Bartender At Party,,,,
Brennan Elliott,Yuppie Man,,,,
Angela Schneider,Yuppie Girl,,,,
Michael Gaston,Cutter,,,,
Gillian Barber,Rebecca Tingely,,,,
Tom McBeath,Coast Guard Officer,,,,
David Jacox,Deputy Ben,,,,
Johnny Depp,Ichabod Crane,,,,
Christina Ricci,Katrina Van Tassel,,,,
Miranda Richardson,Lady Van Tassel,,,,
Michael Gambon,Baltus Van Tassel,,,,
Casper Van Dien,Brom Van Brunt,,,,
Jeffrey Jones,Reverend Steenwyck,,,,
Richard Griffiths,Magistrate Philipse,,,,
Ian McDiarmid,Doctor Lancaster,,,,
Michael Gough,Notary Hardenbrook,,,,
Christopher Walken,Hessian Horseman,,,,
Marc Pickering,Young Masbath,,,,
Lisa Marie,Lady Crane,,,,
Steven Waddington,Killian,,,,
Claire Skinner,Beth Killian,,,,
Christopher Lee,Burgomaster,,,,
Arnold Schwarzenegger,Jericho,,,,
Gabriel Byrne,The Man,,,,
Robin Tunney,Christine,,,,
Kevin Pollak,Chicago,,,,
CCH Pounder,Detective Marge Francis,,,,
Derrick O'Connor,Thomas Aquinas,,,,
David Weisenberg,OB-GYN,,,,
Rainer Judd,Christine's Mother,,,,
Miriam Margolyes,Mabel,,,,
Udo Kier,Head Priest,,,,
Luciano Miele,Pope's Advisor,,,,
Michael O'Hagan,Cardinal,,,,
Mark Margolis,Pope,,,,
Jack Shearer,Kellogg,,,,
Rod Steiger,Father Kovak,,,,
Sean Connery,Mac,,,,
Catherine Zeta-Jones,Gin,,,,
Ving Rhames,Thibadeaux,,,,
Will Patton,Cruz,,,,
Maury Chaykin,Conrad Greene,,,,
Kevin McNally,Haas,,,,
Terry O'Neill,Quinn,,,,
Madhav Sharma,Security Chief,,,,
David Yip,Chief of Police,,,,
Tim Potter,Millennium Man,,,,
Eric Meyers,Waverly Technician,,,,
Aaron Swartz,Cruz's Man,,,,
William Marsh,Computer Technician,,,,
Tony Xu,Banker,,,,
Rolf Saxon,ICB Director,,,,
Will Smith,James West,,,,
Kevin Kline,Artemus Gordon / President Grant,,,,
Kenneth Branagh,Dr. Arliss Loveless,,,,
Salma Hayek,Rita Escobar,,,,
M. Emmet Walsh,Coleman,,,,
Ted Levine,General McGrath,,,,
Frederique Van Der Wal,Amazonia (as Frederique van der Wal),,,,
Musetta Vander,Munitia,,,,
Sofia Eng,Miss Lippenrieder,,,,
Bai Ling,Miss East,,,,
Garcelle Beauvais,Girl In Water Tower,,,,
Mike H. McGaughy,Big Reb (as Mike McGaughy),,,,
Jerry Wills,Other Reb,,,,
Rodney A. Grant,Hudson,,,,
Buck Taylor,Eye-Crossed Reb,,,,
Adam Sandler,Sonny Koufax,,,,
Joey Lauren Adams,Layla Maloney,,,,
Jon Stewart,Kevin Gerrity,,,,
Cole Sprouse,Julian 'Frankenstien' McGrath,,,,
Dylan Sprouse,Julian 'Frankenstien' McGrath,,,,
Josh Mostel,Arthur Brooks,,,,
Leslie Mann,Corinne Maloney,,,,
Allen Covert,Phil D'Amato,,,,
Rob Schneider,Delivery Guy,,,,
Kristy Swanson,Vanessa,,,,
Joseph Bologna,Lenny Koufax,,,,
Peter Dante,Tommy Grayton,,,,
Jonathan Loughran,Mike,,,,
Steve Buscemi,Homeless Guy,,,,
Tim Herlihy,Singing Kangaroo,,,,
Jason Biggs,Jim Levenstein,,,,
Jennifer Coolidge,Stifler's Mom,,,,
Shannon Elizabeth,Nadia,,,,
Alyson Hannigan,Michelle Flaherty,,,,
Chris Klein,Chris 'Oz' Ostreicher,,,,
Clyde Kusatsu,English Teacher,,,,
Eugene Levy,Jim's Dad,,,,
Natasha Lyonne,Jessica,,,,
Thomas Ian Nicholas,Kevin Myers,,,,
Chris Owen,Chuck Sherman,,,,
Lawrence Pressman,Coach Marshall,,,,
Tara Reid,Victoria 'Vicky' Lathum,,,,
Seann William Scott,Steve Stifler (as Seann W. Scott),,,,
Mena Suvari,Heather,,,,
Eddie Kaye Thomas,Paul Finch,,,,
Heather Donahue,Heather Donahue,,,,
Joshua Leonard,Joshua 'Josh' Leonard,,,,
Michael C. Williams,Michael 'Mike' Williams (as Michael Williams),,,,
Bob Griffin,Short Fisherman,,,,
Jim King,Interviewee,,,,
Sandra Sánchez,Waitress (as Sandra Sanchez),,,,
Ed Swanson,Fisherman With Glasses,,,,
Patricia DeCou,Mary Brown,,,,
Mark Mason,Man in Yellow Hat,,,,
Susie Gooch,Interviewee with Child (as Jackie Hallex),,,,
Tom Hanks,Paul Edgecomb,,,,
David Morse,Brutus 'Brutal' Howell,,,,
Bonnie Hunt,Jan Edgecomb,,,,
Michael Clarke Duncan,John Coffey,,,,
James Cromwell,Warden Hal Moores,,,,
Michael Jeter,Eduard Delacroix,,,,
Graham Greene,Arlen Bitterbuck,,,,
Doug Hutchison,Percy Wetmore,,,,
Sam Rockwell,'Wild Bill' Wharton,,,,
Barry Pepper,Dean Stanton,,,,
Jeffrey DeMunn,Harry Terwilliger,,,,
Patricia Clarkson,Melinda Moores,,,,
Harry Dean Stanton,Toot-Toot,,,,
Dabbs Greer,Old Paul Edgecomb,,,,
Eve Brent,Elaine Connelly,,,,
Michael J. Fox,Stuart Little (voice),,,,
Geena Davis,Mrs. Little,,,,
Hugh Laurie,Mr. Little,,,,
Jonathan Lipnicki,George Little,,,,
Nathan Lane,Snowbell (voice),,,,
Chazz Palminteri,Smokey (voice),,,,
Steve Zahn,Monty (voice),,,,
Jim Doughan,Lucky / Detective Allen (voice),,,,
David Alan Grier,Red (voice),,,,
Bruno Kirby,Mr. Stout (voice),,,,
Jennifer Tilly,Mrs. Stout (voice),,,,
Stan Freberg,Race Announcer (voice),,,,
Jeffrey Jones,Uncle Crenshaw,,,,
Connie Ray,Aunt Tina,,,,
Allyce Beasley,Aunt Beatrice,,,,
Julia Roberts,Maggie Carpenter,,,,
Richard Gere,Ike Graham,,,,
Joan Cusack,Peggy Flemming,,,,
Hector Elizondo,Fisher,,,,
Rita Wilson,Ellie Graham,,,,
Paul Dooley,Walter Carpenter,,,,
Christopher Meloni,Coach Bob Kelly,,,,
Donal Logue,Priest Brian Norris,,,,
Reg Rogers,George 'Bug Guy' Swilling,,,,
Yul Vazquez,Dead Head Gill Chavez,,,,
Jane Morris,Mrs. Pressman,,,,
Lisa Roberts Gillan,Elaine from Manhattan,,,,
Kathleen Marshall,Cousin Cindy,,,,
Jean Schertler,Grandma,,,,
Tom Hines,Cory Flemming,,,,
Mike Myers,Austin Powers / Dr. Evil / Fat Bastard,,,,
Heather Graham,Felicity Shagwell,,,,
Michael York,Basil Exposition,,,,
Robert Wagner,Number Two,,,,
Rob Lowe,Young Number Two,,,,
Seth Green,Scott Evil,,,,
Mindy Sterling,Frau Farbissina,,,,
Verne Troyer,Mini-Me (as Verne J. Troyer),,,,
Elizabeth Hurley,Vanessa Kensington,,,,
Gia Carides,Robin Swallows,,,,
Oliver Muirhead,British Colonel,,,,
George Cheung,Chinese Teacher (as George Kee Cheung),,,,
Jeffrey Meng,Chinese Student,,,,
Muse Watson,Klansman,,,,
Scott Cooper,Klansman's Son - Bobby,,,,
Kevin Spacey,Lester Burnham,,,,
Annette Bening,Carolyn Burnham,,,,
Thora Birch,Jane Burnham,,,,
Wes Bentley,Ricky Fitts,,,,
Mena Suvari,Angela Hayes,,,,
Peter Gallagher,Buddy Kane,,,,
Allison Janney,Barbara Fitts,,,,
Chris Cooper,Colonel Fitts,,,,
Scott Bakula,Jim Olmeyer,,,,
Sam Robards,Jim Berkley,,,,
Barry Del Sherman,Brad,,,,
Ara Celi,Sale House Woman #1,,,,
John Cho,Sale House Man #1,,,,
Fort Atkinson,Sale House Man #2,,,,
Sue Casey,Sale House Woman #2,,,,
Pierce Brosnan,James Bond,,,,
Sophie Marceau,Elektra King,,,,
Robert Carlyle,Renard,,,,
Denise Richards,Dr. Christmas Jones,,,,
Robbie Coltrane,Valentin Zukovsky,,,,
Judi Dench,M,,,,
Desmond Llewelyn,Q,,,,
John Cleese,R,,,,
Maria Grazia Cucinotta,Cigar Girl,,,,
Samantha Bond,Miss Moneypenny,,,,
Michael Kitchen,Bill Tanner,,,,
Colin Salmon,Charles Robinson,,,,
Goldie,Bullion,,,,
David Calder,Sir Robert King,,,,
Serena Scott Thomas,Dr. Molly Warmflash,,,,
Julia Roberts,Anna Scott,,,,
Hugh Grant,William Thacker,,,,
Richard McCabe,Tony,,,,
Rhys Ifans,Spike,,,,
James Dreyfus,Martin,,,,
Dylan Moran,Rufus the Thief,,,,
Roger Frost,Annoying Customer,,,,
Henry Goodman,Ritz Concierge,,,,
Julian Rhind-Tutt,'Time Out' Journalist,,,,
Lorelei King,Anna's Publicist,,,,
John Shrapnel,PR Chief,,,,
Clarke Peters,'Helix' Lead Actor,,,,
Arturo Venegas,Foreign Actor,,,,
Yolanda Vazquez,Interpreter,,,,
Mischa Barton,12-year-old Actress,,,,
Brendan Fraser,Rick O'Connell,,,,
Rachel Weisz,Evelyn Carnahan,,,,
John Hannah,Jonathan Carnahan,,,,
Arnold Vosloo,Imhotep,,,,
Kevin J. O'Connor,Beni Gabor,,,,
Jonathan Hyde,Dr. Allen Chamberlain,,,,
Oded Fehr,Ardeth Bay,,,,
Erick Avari,Dr. Terrence Bey,,,,
Stephen Dunham,Mr. Henderson,,,,
Corey Johnson,Mr. Daniels,,,,
Tuc Watkins,Mr. Burns,,,,
Omid Djalili,Warden Gad Hassan,,,,
Aharon Ipalé,Pharaoh Seti I,,,,
Bernard Fox,Captain Winston Havelock,,,,
Patricia Velasquez,Anck Su Namun,,,,
Brian Blessed,Clayton (voice),,,,
Glenn Close,Kala (voice),,,,
Minnie Driver,Jane (voice),,,,
Tony Goldwyn,Tarzan (voice),,,,
Nigel Hawthorne,Professor Porter (voice),,,,
Lance Henriksen,Kerchak (voice),,,,
Wayne Knight,Tantor (voice),,,,
Alex D. Linz,Young Tarzan (voice),,,,
Rosie O'Donnell,Terk (voice),,,,
Beth Anderson,(voice),,,,
Jack Angel,(voice),,,,
Joseph Ashton,(voice),,,,
Bob Bergen,(voice) (as Robert Bergen),,,,
Billy Bodine,(voice) (as Billy Warden Bodine),,,,
Hillary Brooks,(voice),,,,
Keanu Reeves,Neo,,,,
Laurence Fishburne,Morpheus,,,,
Carrie-Anne Moss,Trinity,,,,
Hugo Weaving,Agent Smith,,,,
Gloria Foster,Oracle,,,,
Joe Pantoliano,Cypher,,,,
Marcus Chong,Tank,,,,
Julian Arahanga,Apoc,,,,
Matt Doran,Mouse,,,,
Belinda McClory,Switch,,,,
Anthony Ray Parker,Dozer,,,,
Paul Goddard,Agent Brown,,,,
Robert Taylor,Agent Jones,,,,
David Aston,Rhineheart,,,,
Marc Aden Gray,Choi (as Marc Gray),,,,
Tom Hanks,Woody (voice),,,,
Tim Allen,Buzz Lightyear (voice),,,,
Joan Cusack,Jessie the Yodeling Cowgirl (voice),,,,
Kelsey Grammer,Stinky Pete the Prospector (voice),,,,
Don Rickles,Mr. Potato Head (voice),,,,
Jim Varney,Slinky Dog (voice),,,,
Wallace Shawn,Rex the Green Dinosaur (voice),,,,
John Ratzenberger,Hamm the Piggy Bank (voice),,,,
Annie Potts,Bo Peep (voice),,,,
Wayne Knight,Al the Toy Collector (voice),,,,
John Morris,Andy (voice),,,,
Laurie Metcalf,Andy's Mom (voice),,,,
Estelle Harris,Mrs. Potato Head (voice),,,,
R. Lee Ermey,Army Sarge (voice),,,,
Jodi Benson,Tour Guide Barbie / Barbie on Backpack (voice),,,,
Bruce Willis,Malcolm Crowe,,,,
Haley Joel Osment,Cole Sear,,,,
Toni Collette,Lynn Sear,,,,
Olivia Williams,Anna Crowe,,,,
Trevor Morgan,Tommy Tammisimo,,,,
Donnie Wahlberg,Vincent Gray,,,,
Peter Anthony Tambakis,Darren (as Peter Tambakis),,,,
Jeffrey Zubernis,Bobby,,,,
Bruce Norris,Stanley Cunningham,,,,
Glenn Fitzgerald,Sean,,,,
Greg Wood,Mr. Collins,,,,
Mischa Barton,Kyra Collins,,,,
Angelica Page,Mrs. Collins (as Angelica Torn),,,,
Lisa Summerour,Bridesmaid,,,,
Firdous Bamji,Young Man Buying Ring,,,,
Liam Neeson,Qui-Gon Jinn,,,,
Ewan McGregor,Obi-Wan Kenobi,,,,
Natalie Portman,Queen Amidala / Padmé,,,,
Jake Lloyd,Anakin Skywalker,,,,
Ian McDiarmid,Senator Palpatine,,,,
Pernilla August,Shmi Skywalker,,,,
Oliver Ford Davies,Sio Bibble,,,,
Hugh Quarshie,Captain Panaka,,,,
Ahmed Best,Jar Jar Binks,,,,
Anthony Daniels,C-3PO (voice),,,,
Kenny Baker,R2-D2,,,,
Frank Oz,Yoda (voice),,,,
Terence Stamp,Chancellor Valorum,,,,
Brian Blessed,Boss Nass (voice),,,,
Andy Secombe,Watto (voice) (as Andrew Secombe),,,,
Ray Liotta,Harry Collins,,,,
Anthony LaPaglia,Mike Henshaw,,,,
Daniel Baldwin,James Nutter,,,,
Jeremy Piven,Fred Shuster,,,,
Royce D. Applegate,Dickerman,,,,
Xander Berkeley,Lt. Clyde Webber,,,,
Tamara Clatterbuck,Waitress,,,,
Vanessa Munday,Betsy,,,,
Al Sapienza,Cop,,,,
Yvette Cruise,Maria,,,,
John Henry Whitaker,Husband,,,,
Glenn Morshower,Anti-Abortionist,,,,
Brittany Murphy,Veronica,,,,
George Murdock,Sid,,,,
Kathryn Joosten,Esther,,,,
Bradley Lavelle,(voice),,,,
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,,,,
Tom Clarke Hill,(voice),,,,
Heidi Cole,(voice),,,,
Sylvia Etienne,(voice),,,,
Theresa Francis,(voice),,,,
Henry Halonen,(voice),,,,
Sherry John,(voice),,,,
Alpheous Little,(voice),,,,
Mike Neill,(voice),,,,
Tina Raphael,(voice),,,,
Carolle Rousseau,(voice),,,,
Dan Shearon,(voice),,,,
David Ward,Elevator Passenger,,,,
...,,,,,
...,,,,,
...,,,,,
Sean Penn,Eddie,,,,
Kevin Spacey,Mickey,,,,
Robin Wright,Darlene (as Robin Wright Penn),,,,
Chazz Palminteri,Phil,,,,
Garry Shandling,Artie,,,,
Anna Paquin,Donna,,,,
Meg Ryan,Bonnie,,,,
Gianna Palminteri,Susie (as Gianna Renaudo),,,,
David Fabrizio,Store Manager,,,,
Kenny Vance,Singer,,,,
Michaline Babich,Receptionist,,,,
Elaine Corral Kendall,TV Anchor (as Elaine Corral),,,,
Sharon Tay,TV Reporter,,,,
Frank Somerville,TV Anchor,,,,
Bob Jimenez,Newscaster,,,,
Ian McKellen,James Whale,,,,
Brendan Fraser,Clayton Boone,,,,
Lynn Redgrave,Hanna,,,,
Lolita Davidovich,Betty,,,,
David Dukes,David Lewis,,,,
Kevin J. O'Connor,Harry,,,,
Mark Kiely,Dwight,,,,
Jack Plotnick,Edmund Kay,,,,
Rosalind Ayres,Elsa Lanchester,,,,
Jack Betts,Boris Karloff,,,,
Matt McKenzie,Colin Clive,,,,
Todd Babcock,Leonard Barnett,,,,
Cornelia Hayes O'Herlihy,Princess Margaret,,,,
Brandon Kleyla,Young Whale,,,,
Pamela Salem,Sarah Whale,,,,
Jada Pinkett Smith,Woo,,,,
Tommy Davidson,Tim,,,,
Duane Martin,Frankie,,,,
Michael Ralph,Romaine,,,,
Darrel Heath,Hop,,,,
Dave Chappelle,Lenny,,,,
Paula Jai Parker,Claudette,,,,
LL Cool J,Darryl,,,,
Aida Turturro,Tookie,,,,
Lance Slaughter,Lamar,,,,
Dartanyan Edmonds,Shakim,,,,
Foxy Brown,Fiancée,,,,
Sam Moses,Cabbie,,,,
Tiffany Hall,Denise,,,,
Lina Bradford,Celestrial (as Girlina),,,,
Holly Hunter,Judith Moore,,,,
Danny DeVito,Pat Francato,,,,
Queen Latifah,Liz Bailey,,,,
Martin Donovan,Robert Nelson,,,,
Richard Schiff,Phil Francato,,,,
Elias Koteas,The Kisser,,,,
Suzanne Shepherd,Mary,,,,
Mariangela Pino,Donna,,,,
Eddie Cibrian,The Masseur,,,,
Clark Anderson,Gary,,,,
Ellen McElduff,Crying Woman,,,,
Ivan Kronenfeld,Angry Boyfriend,,,,
Fil Formicola,Santi's Man,,,,
Nick Sandow,Santi's Man,,,,
Jenette Goldstein,Fanny,,,,
Jason Schwartzman,Max Fischer,,,,
Bill Murray,Herman Blume,,,,
Olivia Williams,Rosemary Cross,,,,
Seymour Cassel,Bert Fischer,,,,
Brian Cox,Dr. Nelson Guggenheim,,,,
Mason Gamble,Dirk Calloway,,,,
Sara Tanaka,Margaret Yang,,,,
Stephen McCole,Magnus Buchan,,,,
Connie Nielsen,Mrs. Calloway,,,,
Luke Wilson,Dr. Peter Flynn,,,,
Dipak Pallana,Mr. Adams (as Deepak Pallana),,,,
Andrew Wilson,Coach Beck,,,,
Marietta Marich,Mrs. Guggenheim,,,,
Ronnie McCawley,Ronny Blume,,,,
Keith McCawley,Donny Blume,,,,
LisaRaye McCoy,Diamond (as Lisa Raye),,,,
Dick Anthony Williams,Mr. Armstrong,,,,
Judyann Elder,Mrs. Armstrong (as Judy Ann Elder),,,,
Chrystale Wilson,Ronnie,,,,
Adele Givens,Tricks,,,,
Bernie Mac,Dollar Bill,,,,
Anthony Johnson,L'il Man (as A.J. Johnson),,,,
Jimmy Woodard,Miron,,,,
Montae Russell,Lance (as Monte Russell),,,,
Oren Williams,Jamal @ 4 Years,,,,
Monica Calhoun,Ebony,,,,
Jossie Thacker,Stripper #1 (as Jossie Harris),,,,
Lalanya Masters,Stripper #2,,,,
Ursula Y. Houston,Dancer #2,,,,
Annie O'Donnell,Lady,,,,
Edward Norton,Derek Vinyard,,,,
Edward Furlong,Danny Vinyard,,,,
Beverly D'Angelo,Doris Vinyard,,,,
Jennifer Lien,Davina Vinyard,,,,
Ethan Suplee,Seth Ryan,,,,
Fairuza Balk,Stacey,,,,
Avery Brooks,Dr. Bob Sweeney,,,,
Elliott Gould,Murray,,,,
Stacy Keach,Cameron Alexander,,,,
William Russ,Dennis Vinyard,,,,
Guy Torry,Lamont,,,,
