,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
317,"Mackenzie Astin, Chris O'Donnell, Margot Steinberg, Sandra Bullock",1 nomination.,N/A,USA,27 Jul 1999,Richard Attenborough,,"Biography, Drama, Romance, War","English, Italian",N/A,A bitter love story between a talented writer and a gentle nurse.,https://m.media-amazon.com/images/M/MV5BYWJjOWMwMTItMGY3Yi00NGJhLWJlNmEtODYxNjY2Y2ExZmM5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,New Line Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}]",24 Jan 1997,True,113 min,In Love and War,movie,N/A,"Henry S. Villard (book), James Nagel (book), Allan Scott (screen story), Dimitri Villard (screen story), Allan Scott (screenplay), Clancy Sigal (screenplay), Anna Hamilton Phelan (screenplay)",1996,tt0116621,6.0,"7,696",
318,"Damon Wayans, Adam Sandler, James Caan, Jeep Swenson",2 nominations.,N/A,USA,30 Jun 1998,Ernest R. Dickerson,,"Action, Comedy, Crime",English,30,"Two criminals, Keats and Moses, end their friendship, when Keats turns out to be an undercover cop. Many years later, the two are forced to work together when Keats is assigned to protect Moses as a witness.",https://m.media-amazon.com/images/M/MV5BYTQ0ZWY3OGItM2Y0Yi00YjdmLWFkZDAtYzFhNmRjNTVmNzFlXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_SX300.jpg,MCA Universal Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",06 Sep 1996,True,84 min,Bulletproof,movie,N/A,"Joe Gayton (story), Joe Gayton (screenplay), Lewis Colick (screenplay)",1996,tt0115783,5.8,"33,252",
319,"Chris O'Donnell, Gene Hackman, Faye Dunaway, Robert Prosky",2 nominations.,N/A,USA,26 May 1998,James Foley,,"Crime, Drama",English,45,A young man fresh out of law school tries to win a reprieve for his racist grandfather who is on death row.,https://m.media-amazon.com/images/M/MV5BN2E2ODZjODctZmQ0Mi00YjRkLThjMDEtMGUyYmE1ZDI5MzU3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,MCA Universal Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",11 Oct 1996,True,113 min,The Chamber,movie,N/A,"John Grisham (novel), William Goldman (screenplay), Phil Alden Robinson (screenplay)",1996,tt0115862,6.0,"11,937",
320,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
321,"Julia Roberts, John Malkovich, George Cole, Michael Gambon",6 nominations.,N/A,"USA, UK",12 Sep 2000,Stephen Frears,,"Drama, Horror, Romance, Thriller",English,44,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",https://m.media-amazon.com/images/M/MV5BZWI5MzBiMjgtNDE2ZC00MTA1LWFmNWItZDQyMDA2NGE0MjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",23 Feb 1996,True,108 min,Mary Reilly,movie,N/A,"Valerie Martin (novel), Christopher Hampton (screenplay)",1996,tt0117002,5.8,"13,337",
322,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
323,"Carlo Cecchi, Sinéad Cusack, Joseph Fiennes, Jason Flemyng",3 wins & 11 nominations.,N/A,"Italy, France, UK",08 Jan 2002,Bernardo Bertolucci,,"Drama, Mystery, Romance","English, French, German, Spanish, Italian",60,"After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself.",https://m.media-amazon.com/images/M/MV5BZDgwMWU1ZTctYzkxMi00NDVmLThkZWYtYWEyYmQ0N2NmZWY5XkEyXkFqcGdeQXVyMTE2OTg4Mjg@._V1_SX300.jpg,Fox Searchlight Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",14 Jun 1996,True,118 min,Stealing Beauty,movie,N/A,"Bernardo Bertolucci (story), Susan Minot",1996,tt0117737,6.6,"23,947",
324,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
325,"Jennifer Jason Leigh, Miranda Richardson, Harry Belafonte, Michael Murphy",3 wins & 1 nomination.,N/A,"USA, France",15 Feb 2005,Robert Altman,,"Crime, Drama, Music, Thriller",English,57,A pair of kidnappings expose the complex power dynamics within the corrupt and unpredictable workings of 1930s Kansas City.,https://m.media-amazon.com/images/M/MV5BODE1ZjIwMjYtMmFhMC00NGZiLTgxNmUtYTVmYTg1MDg2NDBkXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_SX300.jpg,Fine Line,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",16 Aug 1996,True,116 min,Kansas City,movie,http://finelinefeatures.com/kc/index.html,"Robert Altman, Frank Barhydt",1996,tt0116745,6.3,"4,034",
326,"Mariel Hemingway, Michael Paré, Mason Gamble, Ken Pogue",N/A,N/A,"USA, Canada",03 Oct 2000,Eric Red,,Horror,English,N/A,"One man's struggle to contain the curse he hides within... and his last-ditch attempt to free himself with the love of family. But when it looks as if he is losing his battle, and ...",https://m.media-amazon.com/images/M/MV5BODZmZGU3MjktZGUyMi00Njc5LWFkMjgtNTQyMDA5ODI4NTIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",01 Nov 1996,True,80 min,Bad Moon,movie,N/A,"Wayne Smith (novel), Eric Red (screenplay)",1996,tt0115610,5.8,"5,090",
327,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
328,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
329,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",Won 11 Oscars. Another 111 wins & 77 nominations.,N/A,USA,10 Sep 2012,James Cameron,,"Drama, Romance","English, Swedish, Italian",75,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",19 Dec 1997,True,194 min,Titanic,movie,http://www.titanicmovie.com/,James Cameron,1997,tt0120338,7.8,"962,473",
330,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard",Nominated for 1 Oscar. Another 4 wins & 23 nominations.,N/A,USA,10 Oct 2000,Steven Spielberg,,"Action, Adventure, Sci-Fi","English, Spanish",59,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",https://m.media-amazon.com/images/M/MV5BMDFlMmM4Y2QtNDg1ZS00MWVlLTlmODgtZDdhYjY5YjdhN2M0XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",23 May 1997,True,129 min,The Lost World: Jurassic Park,movie,http://www.lost-world.com/,"Michael Crichton (novel), David Koepp (screenplay)",1997,tt0119567,6.5,"348,038",
331,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio",Won 1 Oscar. Another 19 wins & 39 nominations.,N/A,USA,23 Oct 1997,Barry Sonnenfeld,,"Action, Adventure, Comedy, Sci-Fi","English, Spanish",71,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,https://m.media-amazon.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Columbia TriStar International,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",02 Jul 1997,True,98 min,Men in Black,movie,N/A,"Lowell Cunningham (comic), Ed Solomon (screen story), Ed Solomon (screenplay)",1997,tt0119654,7.3,"481,626",
332,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher",Nominated for 1 Golden Globe. Another 6 wins & 9 nominations.,N/A,"UK, USA",06 May 1998,Roger Spottiswoode,,"Action, Adventure, Thriller","English, German, Danish, Mandarin, Cantonese",52,James Bond heads to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.,https://m.media-amazon.com/images/M/MV5BMTM1MTk2ODQxNV5BMl5BanBnXkFtZTcwOTY5MDg0NA@@._V1_SX300.jpg,MGM Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",19 Dec 1997,True,119 min,Tomorrow Never Dies,movie,N/A,Bruce Feirstein,1997,tt0120347,6.5,"169,362",
333,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson",Nominated for 2 Oscars. Another 7 wins & 10 nominations.,N/A,"USA, Germany",01 Feb 1998,Wolfgang Petersen,,"Action, Drama, Thriller","English, Russian",61,"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",https://m.media-amazon.com/images/M/MV5BYTk5NWE2ZjAtZmRmOS00ZGYzLWI5ZmUtMDcwODI0YWY0MTRlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Columbia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",25 Jul 1997,True,124 min,Air Force One,movie,N/A,Andrew W. Marlowe,1997,tt0118571,6.5,"167,550",
334,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr.",Won 2 Oscars. Another 35 wins & 49 nominations.,N/A,USA,19 May 1998,James L. Brooks,,"Comedy, Drama, Romance",English,67,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",https://m.media-amazon.com/images/M/MV5BNWMxZTgzMWEtMTU0Zi00NDc5LWFkZjctMzUxNDIyNzZiMmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,TriStar Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",25 Dec 1997,True,139 min,As Good as It Gets,movie,N/A,"Mark Andrus (story), Mark Andrus (screenplay), James L. Brooks (screenplay)",1997,tt0119822,7.7,"254,777",
335,"Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes",Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,N/A,USA,20 Jan 1998,Tom Shadyac,,"Comedy, Fantasy",English,70,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.,https://m.media-amazon.com/images/M/MV5BYjZlYmJjYWYtZDM0NS00YmZlLWIyMTAtMDY5ZTNjZTgwMDhjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",21 Mar 1997,True,86 min,Liar Liar,movie,N/A,"Paul Guay, Stephen Mazur",1997,tt0119528,6.9,"261,416",
336,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
337,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich",Nominated for 1 Oscar. Another 9 wins & 36 nominations.,N/A,France,09 Dec 1997,Luc Besson,,"Action, Adventure, Sci-Fi","English, Swedish, German, Arabic, Egyptian (Ancient)",52,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",https://m.media-amazon.com/images/M/MV5BZWFjYmZmZGQtYzg4YS00ZGE5LTgwYzAtZmQwZjQ2NDliMGVmXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",09 May 1997,True,126 min,The Fifth Element,movie,N/A,"Luc Besson (screenplay by), Robert Mark Kamen (screenplay by), Luc Besson (story by)",1997,tt0119116,7.7,"406,118",
338,"Robert Carlyle, Mark Addy, Wim Snape, Steve Huison",Won 1 Oscar. Another 35 wins & 31 nominations.,N/A,"UK, USA",02 Nov 1999,Peter Cattaneo,,"Comedy, Drama",English,75,"Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.",https://m.media-amazon.com/images/M/MV5BODg0NWFjMTAtNGZjMC00NmZlLThhZDYtM2MzNTU2NDZiZDVmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",19 Sep 1997,True,91 min,The Full Monty,movie,N/A,Simon Beaufoy,1997,tt0119164,7.2,"92,926",
339,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
340,"Tate Donovan, Josh Keaton, Roger Bart, Danny DeVito",Nominated for 1 Oscar. Another 9 wins & 15 nominations.,N/A,USA,09 Nov 1999,"Ron Clements, John Musker",,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","English, Spanish, Greek",74,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,Buena Vista Internationa,G,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",27 Jun 1997,True,93 min,Hercules,movie,N/A,"Ron Clements (animation screenplay by), John Musker (animation screenplay by), Don McEnery (animation screenplay by), Bob Shaw (animation screenplay by), Irene Mecchi (animation screenplay by), Kaan Kalyon (story), Kelly Wightman (story), Randy Cartwright (story), John Ramirez (story), Jeff Snow (story), Vance Gerry (story), Kirk Hanson (story), Tamara Lusher Stocker (story), Francis Glebas (story), Mark Kennedy (story), Bruce Morris (story), Don Dougherty (story), Thom Enriquez (story)",1997,tt0119282,7.3,"184,347",
341,"Rowan Atkinson, Peter MacNicol, John Mills, Pamela Reed",2 wins & 1 nomination.,N/A,"UK, USA",31 Mar 1998,Mel Smith,,"Adventure, Comedy, Family",English,52,The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.,https://m.media-amazon.com/images/M/MV5BYjU2YzY5NDEtM2M3NC00NGM0LTg3MmItNWQ1OWY2ZmNkZTU0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",07 Nov 1997,True,89 min,Bean,movie,N/A,"Rowan Atkinson (character ""Mr. Bean""), Richard Curtis (character ""Mr. Bean""), Richard Curtis, Robin Driscoll",1997,tt0118689,6.5,"90,244",
342,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
343,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
344,"Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton",Won 2 Oscars. Another 22 wins & 57 nominations.,N/A,USA,08 Dec 1998,Gus Van Sant,,"Drama, Romance",English,70,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax Films,R,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",09 Jan 1998,True,126 min,Good Will Hunting,movie,http://www.miramax.com/movie/good-will-hunting/,"Matt Damon, Ben Affleck",1997,tt0119217,8.3,"775,584",
345,"Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago",Nominated for 2 Oscars. Another 7 wins & 9 nominations.,N/A,USA,24 Mar 1998,Simon West,,"Action, Crime, Thriller","English, Spanish",52,Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,https://m.media-amazon.com/images/M/MV5BMGZmNGIxMTYtMmVjMy00YzhkLWIyOTktNTExZGFiYjNiNzdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Disney,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",06 Jun 1997,True,115 min,Con Air,movie,N/A,Scott Rosenberg,1997,tt0118880,6.8,"258,898",
346,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
347,"Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine",3 wins & 2 nominations.,N/A,USA,16 Jun 1998,Les Mayfield,,"Comedy, Family, Sci-Fi",English,37,"An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance.",https://m.media-amazon.com/images/M/MV5BZDlkOTA0OTUtOThmMi00NTMyLTg0NDgtZWZiYmRjZWI4MDY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Disney,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",26 Nov 1997,True,93 min,Flubber,movie,N/A,"Samuel W. Taylor (short story ""A Situation of Gravity""), John Hughes (screenplay), Bill Walsh (screenplay)",1997,tt0119137,5.3,"78,551",
348,"Brendan Fraser, Leslie Mann, Thomas Haden Church, Richard Roundtree",1 win & 3 nominations.,N/A,USA,02 Dec 1997,Sam Weisman,,"Action, Adventure, Comedy, Family, Romance","English, Spanish",53,A man raised in the jungle by apes falls in love with a wealthy American heiress.,https://m.media-amazon.com/images/M/MV5BNTdiM2VjYjYtZjEwNS00ZWU5LWFkZGYtZGYxMDcwMzY1OTEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_SX300.jpg,Disney,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",16 Jul 1997,True,92 min,George of the Jungle,movie,N/A,"Jay Ward (characters), Dana Olsen (story), Dana Olsen (screenplay), Audrey Wells (screenplay)",1997,tt0119190,5.5,"65,894",
349,"Jada Pinkett Smith, Omar Epps, Paulette Patterson, Rasila Schroeder",5 wins & 11 nominations.,N/A,USA,17 Jul 2001,Wes Craven,,"Horror, Mystery",English,63,"Two years after the first series of murders, as Sydney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",https://m.media-amazon.com/images/M/MV5BMDNlM2E2OTUtZTRhZi00ZDU1LWIxODAtN2E5OGZiNmIwMDIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",12 Dec 1997,True,120 min,Scream 2,movie,http://www.dimensionfilms.com/scream2,"Kevin Williamson (characters), Kevin Williamson",1997,tt0120082,6.2,"145,466",
350,"Jena Malone, David Morse, Jodie Foster, Geoffrey Blake",Nominated for 1 Oscar. Another 14 wins & 26 nominations.,N/A,USA,16 Dec 1997,Robert Zemeckis,,"Drama, Mystery, Sci-Fi, Thriller","English, Spanish, German, Russian",62,"Dr. Ellie Arroway (Jodie Foster), after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",https://m.media-amazon.com/images/M/MV5BYWNkYmFiZjUtYmI3Ni00NzIwLTkxZjktN2ZkMjdhMzlkMDc3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Warner Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",11 Jul 1997,True,150 min,Contact,movie,N/A,"James V. Hart (screenplay by), Michael Goldenberg (screenplay by), Carl Sagan (based on the novel by), Carl Sagan (based on the story by), Ann Druyan (based on the story by)",1997,tt0118884,7.4,"236,645",
351,"Sandra Bullock, Jason Patric, Willem Dafoe, Temuera Morrison",1 win & 9 nominations.,N/A,USA,09 Mar 1999,Jan de Bont,,"Action, Adventure, Crime, Romance, Thriller","English, American Sign Language, Portuguese",23,A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.,https://m.media-amazon.com/images/M/MV5BOTRlOTQ0MzItZjUwYi00MDkwLWIwYTctZTgyNGY3OGQwZWViXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",13 Jun 1997,True,121 min,Speed 2: Cruise Control,movie,N/A,"Graham Yost (characters), Jan de Bont (story), Randall McCormick (story), Randall McCormick (screenplay), Jeff Nathanson (screenplay)",1997,tt0120179,3.8,"70,170",
352,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman",6 wins & 18 nominations.,N/A,USA,02 Dec 2003,Jean-Pierre Jeunet,,"Action, Horror, Sci-Fi",English,63,"200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching Earth.",https://m.media-amazon.com/images/M/MV5BNDljNGZkNmItNDlmMi00YzJhLWJiYWUtNGY4OGEwNmY0ODg4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",26 Nov 1997,True,109 min,Alien: Resurrection,movie,N/A,"Dan O'Bannon (characters), Ronald Shusett (characters), Joss Whedon",1997,tt0118583,6.2,"212,352",
353,"Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora",1 win & 4 nominations.,N/A,"USA, UK, France, Germany, Japan",02 Jan 2002,Michael Caton-Jones,,"Action, Crime, Drama, Thriller","English, Russian",36,"An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job.",https://m.media-amazon.com/images/M/MV5BYjZjMjE3MGUtNzliOS00ZTJhLTk5MWYtMzRmMjdiMDkxMjNlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",14 Nov 1997,True,124 min,The Jackal,movie,N/A,"Kenneth Ross (earlier screenplay Day of the Jackal), Chuck Pfarrer (screen story), Chuck Pfarrer (screenplay)",1997,tt0119395,6.4,"100,148",
354,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
355,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
356,"Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd",Nominated for 2 Oscars. Another 10 wins & 21 nominations.,N/A,USA,16 Nov 1999,"Don Bluth, Gary Goldman",,"Animation, Adventure, Drama, Family, Fantasy, Musical, Mystery, Romance","English, Russian, French",59,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.",https://m.media-amazon.com/images/M/MV5BNGJiNWFlYTMtZTBiZi00ZTVmLWJmZmMtNzEzYzZjNzYzZmRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,20th Century Fox,G,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",21 Nov 1997,True,94 min,Anastasia,movie,N/A,"Susan Gauthier (screenplay), Bruce Graham (screenplay), Bob Tzudiker (screenplay), Noni White (screenplay), Eric Tuchman (animation adaptation)",1997,tt0118617,7.1,"103,685",
357,"Mel Gibson, Julia Roberts, Patrick Stewart, Cylk Cozart",4 wins & 1 nomination.,N/A,USA,30 Dec 1997,Richard Donner,,"Action, Mystery, Thriller",English,49,"A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",https://m.media-amazon.com/images/M/MV5BMjQ1MTYxMzA4OF5BMl5BanBnXkFtZTgwNjg2NTM1MTI@._V1_SX300.jpg,Warner Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",08 Aug 1997,True,135 min,Conspiracy Theory,movie,N/A,Brian Helgeland,1997,tt0118883,6.7,"88,043",
