ID,Actors,Country,Director,Genre,Metascore,Poster,Ratings,Title,Writer,Year,imdbID,imdbRating,imdbVotes,Characters
654,"David Spade, Brittany Daniel, Dennis Miller, Adam Beach",USA,Dennie Gordon,"Adventure, Comedy, Drama",20.0,https://m.media-amazon.com/images/M/MV5BMTE5NDgxNzU1MV5BMl5BanBnXkFtZTYwODQ4ODE3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '20/100'}]",Joe Dirt,"David Spade, Fred Wolf",2001,tt0245686,5.9,"47,963","Joe Dirt, Brandy, Zander Kelly, Kicking Wing, Clem, Jill, Robby, Little Joe Dirt, Joe's Little Sister, Joe's Mom"
655,"Anthony Hopkins, Anton Yelchin, Hope Davis, Mika Boorem",USA,Scott Hicks,"Drama, Mystery",55.0,https://m.media-amazon.com/images/M/MV5BNjFjNWNmYWUtZTFlMi00ZDcxLWJkY2MtNjMwYmM0OTc5OTM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",Hearts in Atlantis,"Stephen King (book), William Goldman (screenplay)",2001,tt0252501,6.9,"34,242","Ted Brautigan, Bobby Garfield, Liz Garfield, Carol Gerber, Adult Bobby Garfield, Monte Man, Len Files, Alana Files, Don Biderman, John Sullivan"
656,"Jennifer Lopez, Jim Caviezel, Jeremy Sisto, Terrence Howard",USA,Luis Mandoki,"Drama, Romance",39.0,https://m.media-amazon.com/images/M/MV5BNDQwNzI2OTY2Ml5BMl5BanBnXkFtZTYwOTI3ODc5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Metacritic', 'Value': '39/100'}]",Angel Eyes,Gerald Di Pego,2001,tt0225071,5.6,"21,355","Sharon Pogue, Steven 'Catch' Lambert, Larry Pogue, Sr., Robby, Josephine Pogue (as Sonia Braga), Carl Pogue, Kathy Pogue, Elanora Davis, Larry Pogue, Jr., Annie Lambert (as Guylaine St. Onge)"
657,"Patricia Clarkson, Beau Daniels, Benicio Del Toro, Dale Dickey",USA,Sean Penn,"Crime, Drama, Mystery, Thriller",71.0,https://m.media-amazon.com/images/M/MV5BNTJjNTMyOGUtOTE2Ni00MGZhLWI5OGEtNWQ3MzQ2NGIzYTJiXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",The Pledge,"Friedrich Dürrenmatt (book), Jerzy Kromolowski (screenplay), Mary Olson-Kromolowski (screenplay)",2001,tt0237572,6.8,"50,252","Margaret Larsen, Rudy, Toby Jay Wadenah, Strom, Resort Owner (as Wendy Morrow Donaldson), Sheriff (as P. Adrien Dorval), Stan Krolak, Bus Driver, Store Clerk, Ginny Larsen"
658,"Tyrese Gibson, Taraji P. Henson, Omar Gooding, Tamara LaSeon Bass",USA,John Singleton,"Crime, Drama, Romance, Thriller",55.0,https://m.media-amazon.com/images/M/MV5BOTc4MTJmMzYtYTg4Yy00YTE3LWI5MGQtYTcxYWU2MmIxY2U3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",Baby Boy,John Singleton,2001,tt0255819,6.4,"11,784","Joseph Summers, Yvette, Sweetpea, Peanut, Ms. Herron (as Candy Brown Houston), Juanita, Melvin 'Mel', Rodney, Kim, Do Dirty (as Kareem Grimes)"
659,"Bruce Allpress, Sean Astin, John Bach, Sala Baker","New Zealand, USA",Peter Jackson,"Adventure, Drama, Fantasy",87.0,https://m.media-amazon.com/images/M/MV5BNGE5MzIyNTAtNWFlMC00NDA2LWJiMjItMjc4Yjg1OWM5NzhhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",The Lord of the Rings: The Two Towers,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)",2002,tt0167261,8.7,"1,362,116","Aldor, Sam, Madril, Man Flesh Uruk, Galadriel, Legolas, Pippin, Sharku / Snaga, Eothain, Wormtongue"
660,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Griffiths","UK, USA, Germany",Chris Columbus,"Adventure, Family, Fantasy, Mystery",63.0,https://m.media-amazon.com/images/M/MV5BMTcxODgwMDkxNV5BMl5BanBnXkFtZTYwMDk2MDg3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",Harry Potter and the Chamber of Secrets,"J.K. Rowling (novel), Steve Kloves (screenplay)",2002,tt0295297,7.4,"496,019","Harry Potter, Ron Weasley, Hermione Granger, Uncle Vernon, Aunt Petunia, Dudley Dursley, Dobby (voice), Mr Mason, Mrs Mason, Fred Weasley"
661,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco",USA,Sam Raimi,"Action, Adventure, Sci-Fi",73.0,https://m.media-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Spider-Man,"Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book), David Koepp (screenplay)",2002,tt0145487,7.3,"645,165","Spider-Man / Peter Parker, Green Goblin / Norman Osborn, Mary Jane Watson, Harry Osborn, Ben Parker, May Parker, J. Jonah Jameson, Flash Thompson, Maximilian Fargas, Joseph 'Robbie' Robertson"
662,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",USA,George Lucas,"Action, Adventure, Fantasy, Sci-Fi",54.0,https://m.media-amazon.com/images/M/MV5BMDAzM2M0Y2UtZjRmZi00MzVlLTg4MjEtOTE3NzU5ZDVlMTU5XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",Star Wars: Episode II - Attack of the Clones,"George Lucas (screenplay by), Jonathan Hales (screenplay by), George Lucas (story by)",2002,tt0121765,6.6,"578,524","Obi-Wan Kenobi, Padmé, Anakin Skywalker, Count Dooku / Darth Tyranus, Mace Windu, Yoda (voice), Supreme Chancellor Palpatine, Shmi Skywalker, Jango Fett, Senator Bail Organa"
663,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle",USA,Barry Sonnenfeld,"Action, Adventure, Comedy, Mystery, Sci-Fi",49.0,https://m.media-amazon.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",Men in Black II,"Lowell Cunningham (comic book ""Malibu Comics""), Robert Gordon (story), Robert Gordon (screenplay), Barry Fanaro (screenplay)",2002,tt0120912,6.1,"316,108","Kay, Jay, Zed, Serleena, Scrad / Charlie, Laura Vasquez, Jeebs, Agent Tee, Ben, Newton"
664,"Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike","UK, USA",Lee Tamahori,"Action, Adventure, Thriller",56.0,https://m.media-amazon.com/images/M/MV5BODNkYmIwYTMtYzdhNy00YWE3LThkYmEtNzA5ZTE5YmVjYzZlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",Die Another Day,"Ian Fleming (characters), Neal Purvis, Robert Wade",2002,tt0246460,6.1,"192,671","James Bond, Jinx Johnson, Gustav Graves, Miranda Frost, Zao, M, Q, Damian Falco, Colonel Moon, General Moon"
665,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin",USA,M. Night Shyamalan,"Drama, Mystery, Sci-Fi, Thriller",59.0,https://m.media-amazon.com/images/M/MV5BNDUwMDUyMDAyNF5BMl5BanBnXkFtZTYwMDQ3NzM3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",Signs,M. Night Shyamalan,2002,tt0286106,6.7,"318,549","Rev. Graham Hess, Merrill Hess, Morgan Hess, Bo Hess, Officer Paski, Ray Reddy, Colleen Hess, SFC Cunningham, Tracey Abernathy, the Pharmacist, Mr. Nathan"
666,"Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic",USA,"Chris Wedge, Carlos Saldanha(co-director)","Animation, Adventure, Comedy, Family, Fantasy",60.0,https://m.media-amazon.com/images/M/MV5BMmYxZWY2NzgtYzJjZC00MDFmLTgxZTctMjRiYjdjY2FhODg3XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",Ice Age,"Michael J. Wilson (story), Michael Berg (screenplay), Michael J. Wilson (screenplay), Peter Ackerman (screenplay), James Bresnahan (additional story), Doug Compton (additional story), Jeff Siergey (additional story), Mike Thurmeier (additional story), Galen T. Chu (additional story), Xeth Feinberg (additional story)",2002,tt0268380,7.5,"405,522","Manfred (voice), Sid (voice), Diego (voice), Soto (voice), Zeke (voice), Carl (voice), Frank / Start (voice), Oscar (voice), Lenny / Oscar / Dab (voice), Jennifer (voice)"
667,"Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira","Canada, USA",Joel Zwick,"Comedy, Drama, Romance",62.0,https://m.media-amazon.com/images/M/MV5BNzcwOWU4NGEtYjUyMy00MDNlLThiN2MtYzFlMjk4Y2FhNjlmXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",My Big Fat Greek Wedding,Nia Vardalos,2002,tt0259446,6.6,"113,932","Toula Portokalos, Gus Portokalos, Toula Portokalos - Age 6, Schoolgirl, Greek Teacher, Maria Portokalos, Toula Portokalos - Age 12, Athena Portokalos - Age 15, Car Pool Friend, Car Pool Friend"
668,"Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough",USA,Steven Spielberg,"Action, Crime, Mystery, Sci-Fi, Thriller",80.0,https://m.media-amazon.com/images/M/MV5BZTI3YzZjZjEtMDdjOC00OWVjLTk0YmYtYzI2MGMwZjFiMzBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",Minority Report,"Philip K. Dick (short story), Scott Frank (screenplay), Jon Cohen (screenplay)",2002,tt0181689,7.6,"472,824","Chief John Anderton, Director Lamar Burgess, Jad, Fletcher, Knott, Evanna, Pre-Crime Cop, Pre-Crime Cop, Pre-Crime Cop, Pre-Crime Cop"
669,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen","USA, Canada",Steven Spielberg,"Biography, Crime, Drama",75.0,https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",Catch Me If You Can,"Jeff Nathanson (screenplay), Frank Abagnale Jr. (book), Stan Redding (book)",2002,tt0264464,8.1,"727,839","Frank Abagnale Jr., Carl Hanratty, Frank Abagnale, Roger Strong, Paula Abagnale, Brenda Strong, Jack Barnes, Earl Amdursky, Tom Fox, Paul Morgan"
670,"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger","USA, Germany, Canada",Rob Marshall,"Comedy, Crime, Musical",82.0,https://m.media-amazon.com/images/M/MV5BN2E3NDU1ZTktNzZjNy00MWU3LWI4YmMtMjdjNTIzMDU0MDdiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",Chicago,"Bill Condon (screenplay), Bob Fosse (book), Fred Ebb (book), Maurine Dallas Watkins (play)",2002,tt0299658,7.2,"201,350","Bandleader, Stage Manager, Velma Kelly, Roxie Hart, Fred Casely, Mrs. Borusewicz, Police Photographer, Sergeant Fogarty, Amos Hart, Harrison"
671,"Mike Myers, Beyoncé, Seth Green, Michael York",USA,Jay Roach,"Action, Adventure, Comedy, Crime",62.0,https://m.media-amazon.com/images/M/MV5BMTI3NTkzODI0MF5BMl5BanBnXkFtZTYwNjc5MTA3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",Austin Powers in Goldmember,"Mike Myers, Michael McCullers, Mike Myers (characters created by)",2002,tt0295178,6.2,"185,093","Austin Powers / Dr. Evil / Goldmember / Fat Bastard, Foxxy Cleopatra (as Beyoncé Knowles), Scott Evil, Basil Exposition, Number Two, Frau Farbissina, Mini Me, Nigel Powers, Number Three, Fook Mi"
672,"Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson",USA,Rob Cohen,"Action, Adventure, Thriller",48.0,https://m.media-amazon.com/images/M/MV5BNzZjZmM1ZDctNDhlZi00Mzk1LWFjNWItYzIxNGY2OWYzYjJmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",xXx,Rich Wilkes,2002,tt0295701,5.9,"166,617","Xander Cage, Yelena, Yorgi, Agent Augustus Gibbons, Toby Lee Shavers, Milan Sova, Kirill, Kolya (as Petr Jakl), Viktor (as Jan Filipensky), Senator Dick Hotchkiss"
673,"Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini","USA, Australia",Raja Gosnell,"Adventure, Comedy, Family, Fantasy, Mystery",35.0,https://m.media-amazon.com/images/M/MV5BMTg4MzMzMTY0OF5BMl5BanBnXkFtZTYwNzM3MTg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",Scooby-Doo,"James Gunn (screenplay), Craig Titley (story), James Gunn (story), William Hanna (characters), Joseph Barbera (characters)",2002,tt0267913,5.0,"88,673","Fred, Daphne, Shaggy, Velma, Mondavarious, Mary Jane, Voodoo Maestro (as Miguel A. Nunez Jr.), N' Goo Tuana, Sugar Ray (as Stan Frazier), Sugar Ray (as DJ Homicide)"
674,"Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers",USA,"Dean DeBlois, Chris Sanders","Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",73.0,https://m.media-amazon.com/images/M/MV5BMTkwOTU5MTA2M15BMl5BanBnXkFtZTYwMjYyNTc3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",Lilo & Stitch,"Chris Sanders (based on an idea by), Chris Sanders, Dean DeBlois",2002,tt0275847,7.2,"151,754","Lilo (voice), Stitch (voice) (as Christopher Michael Sanders), Nani (voice), Jumba (voice), Pleakley (voice), Cobra Bubbles (voice), Grand Councilwoman (voice), David Kawena (voice), Captain Gantu (voice), Rescue Lady (voice)"
675,"Naomi Watts, Martin Henderson, David Dorfman, Brian Cox",USA,Gore Verbinski,"Horror, Mystery",57.0,https://m.media-amazon.com/images/M/MV5BNDA2NTg2NjE4Ml5BMl5BanBnXkFtZTYwMjYxMDg5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",The Ring,"Ehren Kruger (screenplay), Kôji Suzuki (novel)",2002,tt0298130,7.1,"299,922","Rachel, Noah, Aidan, Richard Morgan, Dr. Grasnik, Ruth, Katie, Becca, Samara, Anna Morgan"
676,"Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy","USA, Germany",Curtis Hanson,"Drama, Music",77.0,https://m.media-amazon.com/images/M/MV5BOWI3MDIzZmYtN2Y3MC00YTljLWFiYmYtNWIzMjg1ZWQ1ODlhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",8 Mile,Scott Silver,2002,tt0298203,7.1,"229,673","Jimmy 'B-Rabbit' Smith, Stephanie Smith, David 'Future' Porter, Alex, Cheddar Bob, Sol George, DJ Iz, Wink, Janeane, Bouncer"
677,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen","USA, Germany, Czech Republic",Doug Liman,"Action, Mystery, Thriller",68.0,https://m.media-amazon.com/images/M/MV5BM2JkNGU0ZGMtZjVjNS00NjgyLWEyOWYtZmRmZGQyN2IxZjA2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",The Bourne Identity,"Tony Gilroy (screenplay), W. Blake Herron (screenplay), Robert Ludlum (novel)",2002,tt0258463,7.9,"477,707","Bourne, Marie, Conklin, The Professor, Ward Abbott, Wombosi, Zorn, Research Tech, Research Tech, Nicolette"
678,"Anthony Hopkins, Edward Norton, Ralph Fiennes, Harvey Keitel","Germany, USA",Brett Ratner,"Crime, Drama, Thriller",60.0,https://m.media-amazon.com/images/M/MV5BMTQ4MDgzNjM5MF5BMl5BanBnXkFtZTYwMjUwMzY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",Red Dragon,"Thomas Harris (novel), Ted Tally (screenplay)",2002,tt0289765,7.2,"233,251","Dr. Hannibal Lecter, Will Graham, Francis Dolarhyde, Jack Crawford, Reba McClane, Molly Graham, Freddy Lounds, Dr. Frederick Chilton, Lloyd Bowman, Barney Matthews"
679,"Sandra Bullock, Hugh Grant, Alicia Witt, Dana Ivey","USA, Australia",Marc Lawrence,"Comedy, Romance",42.0,https://m.media-amazon.com/images/M/MV5BYTg4N2M2ODItZjVjMy00YTljLTllNjUtYzY4ZTE2MTI2M2RhXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",Two Weeks Notice,Marc Lawrence,2002,tt0313737,6.1,"98,777","Lucy Kelson, George Wade, June Carver, Ruth Kelson, Larry Kelson, Meryl Brooks, Howard Wade, Tony, Construction Foreman (as Joseph Badalucco), Tom"
680,"Jodie Foster, Kristen Stewart, Forest Whitaker, Dwight Yoakam",USA,David Fincher,"Crime, Drama, Thriller",65.0,https://m.media-amazon.com/images/M/MV5BNmY4ZGFjYTYtMDNmYi00ZDM4LWFjYTgtNmNlZjBmMzg0MzQ3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",Panic Room,David Koepp,2002,tt0258000,6.8,"238,057","Meg Altman, Sarah Altman, Burnham, Raoul, Junior, Stephen Altman, Lydia Lynch, Evan Kurlander, Sleepy Neighbor, Officer Keeney"
681,"Ian Mongrain, Russell Bobbitt, James Cromwell, Ken Jenkins","USA, Germany, Canada",Phil Alden Robinson,"Action, Drama, Thriller, War",45.0,https://m.media-amazon.com/images/M/MV5BZmFiZDkyYWQtMGNkZi00YmZkLThjNzAtY2U1YTVmYmNlNThmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",The Sum of All Fears,"Tom Clancy (novel), Paul Attanasio (screenplay), Daniel Pyne (screenplay)",2002,tt0164184,6.4,"97,416","Syrian Radar Operator, Israeli Pilot, President Fowler, Admiral Pollack, National Security Advisor Revell, General Lasseter, DCI William Cabot, Defense Secretary Becker, US STRATCOM Colonel, Mt. Weather General"
682,"Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent","USA, Italy",Martin Scorsese,"Crime, Drama",72.0,https://m.media-amazon.com/images/M/MV5BNDg3MmI1ZDYtMDZjYi00ZWRlLTk4NzEtZjY4Y2U0NjE5YmRiXkEyXkFqcGdeQXVyNzAxMjE1NDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",Gangs of New York,"Jay Cocks (story), Jay Cocks (screenplay), Steven Zaillian (screenplay), Kenneth Lonergan (screenplay)",2002,tt0217505,7.6,"373,725","Amsterdam Vallon, Bill 'The Butcher' Cutting, Jenny Everdeane, William 'Boss' Tweed, Happy Jack Mulraney, Johnny Sirocco, 'Priest' Vallon, Walter 'Monk' McGinn, McGloin, Shang"
683,"Tyler Hoechlin, Rob Maxey, Liam Aiken, Jennifer Jason Leigh",USA,Sam Mendes,"Crime, Drama, Thriller",72.0,https://m.media-amazon.com/images/M/MV5BNjcxMmQ0MmItYTkzYy00MmUyLTlhOTQtMmJmNjE3MDMwYjdlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",Road to Perdition,"Max Allan Collins (graphic novel), Richard Piers Rayner (graphic novel), David Self (screenplay)",2002,tt0257044,7.7,"228,487","Michael Sullivan Jr., Drugstore Owner, Peter Sullivan, Annie Sullivan, Michael Sullivan, John Rooney, Connor Rooney, Finn McGovern, Rooney's Henchman, Rooney's Henchman"
684,"Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen",USA,Andy Tennant,"Comedy, Romance",45.0,https://m.media-amazon.com/images/M/MV5BMjEwMjIwMDQ4OV5BMl5BanBnXkFtZTYwNzc3OTY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",Sweet Home Alabama,"Douglas J. Eboch (story), C. Jay Cox (screenplay)",2002,tt0256415,6.2,"95,958","Melanie Smooter, Jake Perry, Andrew Hennings, Mayor Kate Hennings, Pearl Smooter, Earl Smooter, Stella Kay Perry, Bobby Ray, Lurlynn, Sheriff Wade"
685,"Tim Allen, Elizabeth Mitchell, David Krumholtz, Eric Lloyd",USA,Michael Lembeck,"Comedy, Family, Fantasy",48.0,https://m.media-amazon.com/images/M/MV5BNjU0Njk5MTA2Nl5BMl5BanBnXkFtZTYwODkzMzQ3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",The Santa Clause 2,"Don Rhymer (screenplay), Cinco Paul (screenplay), Ken Daurio (screenplay), Ed Decter (screenplay), John J. Strauss (screenplay), Leo Benvenuti (characters), Steve Rudnick (characters), Leo Benvenuti (story), Steve Rudnick (story)",2002,tt0304669,5.6,"45,154","Scott Calvin / Santa / Toy Santa, Carol, Bernard, Charlie Calvin, Neil Miller, Laura Miller, Curtis, Lucy Miller, Abby, Tooth Fairy (as Art Lafleur)"
686,"Adam Sandler, Winona Ryder, John Turturro, Allen Covert",USA,Steven Brill,"Comedy, Romance",24.0,https://m.media-amazon.com/images/M/MV5BMTU3NTE3M2QtNWQ0MS00ZmRkLWIwNTMtOTA0ZGM5N2UwMWNjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",Mr. Deeds,"Clarence Budington Kelland (short story ""Opera Hat""), Robert Riskin (film Mr. Deeds Goes to Town), Tim Herlihy (screenplay)",2002,tt0280590,5.8,"127,611","Longfellow Deeds, Babe Bennett, Emilio Lopez, Marty, Chuck Cedar, Mac McGrath, Cecil Anderson, Murph, Jan, Preston Blake"
687,"Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki",USA,Rob Minkoff,"Animation, Adventure, Comedy, Family, Fantasy",66.0,https://m.media-amazon.com/images/M/MV5BMTYyNDg0Njc2Nl5BMl5BanBnXkFtZTYwMDc3NzQ3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",Stuart Little 2,"E.B. White (characters from the book ""Stuart Little""), Douglas Wick (story), Bruce Joel Rubin (story), Bruce Joel Rubin (screenplay)",2002,tt0243585,5.5,"45,681","Stuart Little (voice), Mrs. Little, Mr. Little, George Little, Martha Little, Martha Little, Snowbell (voice), Margalo (voice), Falcon (voice), Monty (voice)"
